structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
PBI-COF_z33_L020_incl,incl,-55548.22307282051,0.5341304710818804,False
PBI-COF_z33_L116_incl,incl,-55548.75720329159,0.0,False
