structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z42_L080_serr,4.2,8.0,-311591.8132301911,9.902294129715301
PDI-BT-COF-same_z42_L090_serr,4.2,9.0,-311589.1931487791,12.522375541739166
PDI-BT-COF-same_z42_L100_serr,4.2,10.0,-311584.9239836313,16.791540689533576
PDI-BT-COF-same_z42_L110_serr,4.2,11.0,-311577.6217972126,24.09372710826574
PDI-BT-COF-same_z42_L120_serr,4.2,12.0,-311584.99627574196,16.719248578883708
PDI-BT-COF-same_z42_L130_serr,4.2,13.0,-311585.7013853777,16.014138943166472
PDI-BT-COF-same_z42_L140_serr,4.2,14.0,-311579.3441315884,22.37139273242792
PDI-BT-COF-same_z42_L150_serr,4.2,15.0,-311587.2386702442,14.476854076667223
PDI-BT-COF-same_z42_L160_serr,4.2,16.0,-311590.33337659127,11.382147729571443
PDI-BT-COF-same_z42_L170_serr,4.2,17.0,-311588.66915214673,13.04637217411073
PDI-BT-COF-same_z42_L180_serr,4.2,18.0,-311589.46266741643,12.252856904407963
PDI-BT-COF-same_z42_L181_serr,4.2,18.1,-311589.4684167136,12.247107607254293
PDI-BT-COF-same_z43_L000_serr,4.3,0.0,-311599.62933170755,2.086192613292951
PDI-BT-COF-same_z43_L010_serr,4.3,1.0,-311599.5004841748,2.2150401460239664
PDI-BT-COF-same_z43_L020_serr,4.3,2.0,-311599.17424519546,2.5412791253766045
PDI-BT-COF-same_z43_L030_serr,4.3,3.0,-311598.82861555973,2.8869087611092255
PDI-BT-COF-same_z43_L040_serr,4.3,4.0,-311598.36290684826,3.352617472584825
PDI-BT-COF-same_z43_L050_serr,4.3,5.0,-311597.7955864262,3.9199378946213983
PDI-BT-COF-same_z43_L060_serr,4.3,6.0,-311596.8468369372,4.868687383655924
PDI-BT-COF-same_z43_L070_serr,4.3,7.0,-311595.40730168816,6.308222632680554
PDI-BT-COF-same_z43_L080_serr,4.3,8.0,-311593.2005513394,8.514972981414758
PDI-BT-COF-same_z43_L090_serr,4.3,9.0,-311591.262109032,10.453415288822725
PDI-BT-COF-same_z43_L100_serr,4.3,10.0,-311587.97050839174,13.745015929103829
PDI-BT-COF-same_z43_L110_serr,4.3,11.0,-311582.3730471726,19.342477148224134
PDI-BT-COF-same_z43_L120_serr,4.3,12.0,-311587.94075225387,13.774772066972218
PDI-BT-COF-same_z43_L130_serr,4.3,13.0,-311588.27978783497,13.435736485873349
PDI-BT-COF-same_z43_L140_serr,4.3,14.0,-311583.67161377944,18.043910541397054
PDI-BT-COF-same_z43_L150_serr,4.3,15.0,-311589.5438018354,12.171722485451028
PDI-BT-COF-same_z43_L160_serr,4.3,16.0,-311591.96320091863,9.752323402208276
PDI-BT-COF-same_z43_L170_serr,4.3,17.0,-311590.6213880386,11.094136282219552
PDI-BT-COF-same_z43_L180_serr,4.3,18.0,-311591.22900351754,10.486520803300664
PDI-BT-COF-same_z43_L181_serr,4.3,18.1,-311591.2339454369,10.481578883947805
PDI-BT-COF-same_z44_L000_serr,4.4,0.0,-311599.1303880382,2.5851362826651894
PDI-BT-COF-same_z44_L010_serr,4.4,1.0,-311599.01400646777,2.701517853070982
PDI-BT-COF-same_z44_L020_serr,4.4,2.0,-311598.7322740332,2.9832502876524813
PDI-BT-COF-same_z44_L030_serr,4.4,3.0,-311598.4269730578,3.2885512630455196
PDI-BT-COF-same_z44_L040_serr,4.4,4.0,-311598.0479958778,3.6675284430384636
PDI-BT-COF-same_z44_L050_serr,4.4,5.0,-311597.620552126,4.094972194812726
PDI-BT-COF-same_z44_L060_serr,4.4,6.0,-311596.9583270786,4.757197242230177
PDI-BT-COF-same_z44_L070_serr,4.4,7.0,-311595.91151116125,5.804013159591705
PDI-BT-COF-same_z44_L080_serr,4.4,8.0,-311594.21489931946,7.500625001383014
PDI-BT-COF-same_z44_L090_serr,4.4,9.0,-311592.7778259148,8.937698406050913
PDI-BT-COF-same_z44_L100_serr,4.4,10.0,-311590.25423313316,11.46129118767567
PDI-BT-COF-same_z44_L110_serr,4.4,11.0,-311585.9935469813,15.721977339533623
PDI-BT-COF-same_z44_L120_serr,4.4,12.0,-311590.15711372474,11.558410596102476
PDI-BT-COF-same_z44_L130_serr,4.4,13.0,-311590.23743206705,11.478092253790237
