structure,z,L,energy_Eh
Porphrin_Linker-CN_centered_z33_inc_L150,3.3,15.0,-28.95145357389321
Porphrin_Linker-CN_centered_z33_inc_L160,3.3,16.0,-28.940904903078454
Porphrin_Linker-CN_centered_z33_inc_L170,3.3,17.0,-28.940424247304545
Porphrin_Linker-CN_centered_z33_inc_L180,3.3,18.0,-28.93843352511117
Porphrin_Linker-CN_centered_z33_inc_L187,3.3,18.7,-28.936638309105295
Porphrin_Linker-CN_centered_z34_inc_L000,3.4,0.0,-29.08388139810889
Porphrin_Linker-CN_centered_z34_inc_L010,3.4,1.0,-29.104365704116834
Porphrin_Linker-CN_centered_z34_inc_L020,3.4,2.0,-29.12132653183667
Porphrin_Linker-CN_centered_z34_inc_L030,3.4,3.0,-29.119977590018618
Porphrin_Linker-CN_centered_z34_inc_L040,3.4,4.0,-29.11729926736143
Porphrin_Linker-CN_centered_z34_inc_L050,3.4,5.0,-29.09606114502504
Porphrin_Linker-CN_centered_z34_inc_L060,3.4,6.0,-29.0715638351265
Porphrin_Linker-CN_centered_z34_inc_L070,3.4,7.0,-29.046475115663352
Porphrin_Linker-CN_centered_z34_inc_L080,3.4,8.0,-29.020353532820195
Porphrin_Linker-CN_centered_z34_inc_L090,3.4,9.0,-28.99667582749005
Porphrin_Linker-CN_centered_z34_inc_L100,3.4,10.0,-28.97403221305222
Porphrin_Linker-CN_centered_z34_inc_L110,3.4,11.0,-28.961231235232884
Porphrin_Linker-CN_centered_z34_inc_L120,3.4,12.0,-28.958192961209754
Porphrin_Linker-CN_centered_z34_inc_L130,3.4,13.0,-28.95966361302817
Porphrin_Linker-CN_centered_z34_inc_L140,3.4,14.0,-28.95718528984064
Porphrin_Linker-CN_centered_z34_inc_L150,3.4,15.0,-28.947487871616428
Porphrin_Linker-CN_centered_z34_inc_L160,3.4,16.0,-28.939019700470137
Porphrin_Linker-CN_centered_z34_inc_L170,3.4,17.0,-28.939238314538063
Porphrin_Linker-CN_centered_z34_inc_L180,3.4,18.0,-28.938882548949476
Porphrin_Linker-CN_centered_z34_inc_L187,3.4,18.7,-28.938117107194454
Porphrin_Linker-CN_centered_z35_inc_L000,3.5,0.0,-29.08418879700449
Porphrin_Linker-CN_centered_z35_inc_L010,3.5,1.0,-29.10287729748485
Porphrin_Linker-CN_centered_z35_inc_L020,3.5,2.0,-29.11724859171658
Porphrin_Linker-CN_centered_z35_inc_L030,3.5,3.0,-29.113453640222318
Porphrin_Linker-CN_centered_z35_inc_L040,3.5,4.0,-29.108892057025603
Porphrin_Linker-CN_centered_z35_inc_L050,3.5,5.0,-29.08742583465001
Porphrin_Linker-CN_centered_z35_inc_L060,3.5,6.0,-29.06427825281132
Porphrin_Linker-CN_centered_z35_inc_L070,3.5,7.0,-29.039230339469956
Porphrin_Linker-CN_centered_z35_inc_L080,3.5,8.0,-29.012124495868395
Porphrin_Linker-CN_centered_z35_inc_L090,3.5,9.0,-28.989809130691125
Porphrin_Linker-CN_centered_z35_inc_L100,3.5,10.0,-28.966917179652103
Porphrin_Linker-CN_centered_z35_inc_L110,3.5,11.0,-28.953551165387914
Porphrin_Linker-CN_centered_z35_inc_L120,3.5,12.0,-28.94975214474983
Porphrin_Linker-CN_centered_z35_inc_L130,3.5,13.0,-28.950837456553284
Porphrin_Linker-CN_centered_z35_inc_L140,3.5,14.0,-28.94974292035847
Porphrin_Linker-CN_centered_z35_inc_L150,3.5,15.0,-28.942459712165395
Porphrin_Linker-CN_centered_z35_inc_L160,3.5,16.0,-28.935646334882854
Porphrin_Linker-CN_centered_z35_inc_L170,3.5,17.0,-28.9361382854727
Porphrin_Linker-CN_centered_z35_inc_L180,3.5,18.0,-28.936769315304353
Porphrin_Linker-CN_centered_z35_inc_L187,3.5,18.7,-28.936886190433814
Porphrin_Linker-CN_centered_z36_inc_L000,3.6,0.0,-29.079804765468996
Porphrin_Linker-CN_centered_z36_inc_L010,3.6,1.0,-29.0970370251397
Porphrin_Linker-CN_centered_z36_inc_L020,3.6,2.0,-29.109571046523552
Porphrin_Linker-CN_centered_z36_inc_L030,3.6,3.0,-29.103946127119514
Porphrin_Linker-CN_centered_z36_inc_L040,3.6,4.0,-29.097475808292266
Porphrin_Linker-CN_centered_z36_inc_L050,3.6,5.0,-29.076519057157025
Porphrin_Linker-CN_centered_z36_inc_L060,3.6,6.0,-29.054512782559982
Porphrin_Linker-CN_centered_z36_inc_L070,3.6,7.0,-29.02974524128723
Porphrin_Linker-CN_centered_z36_inc_L080,3.6,8.0,-29.002107194317848
Porphrin_Linker-CN_centered_z36_inc_L090,3.6,9.0,-28.981227045632952
Porphrin_Linker-CN_centered_z36_inc_L100,3.6,10.0,-28.958346205796023
Porphrin_Linker-CN_centered_z36_inc_L110,3.6,11.0,-28.945098040654266
Porphrin_Linker-CN_centered_z36_inc_L120,3.6,12.0,-28.9410217342171
Porphrin_Linker-CN_centered_z36_inc_L130,3.6,13.0,-28.94167612418254
Porphrin_Linker-CN_centered_z36_inc_L140,3.6,14.0,-28.941753560236247
Porphrin_Linker-CN_centered_z36_inc_L150,3.6,15.0,-28.936640086350444
Porphrin_Linker-CN_centered_z36_inc_L160,3.6,16.0,-28.93125931902515
Porphrin_Linker-CN_centered_z36_inc_L170,3.6,17.0,-28.931776742827495
Porphrin_Linker-CN_centered_z36_inc_L180,3.6,18.0,-28.933008199514415
Porphrin_Linker-CN_centered_z36_inc_L187,3.6,18.7,-28.93377310115752
Porphrin_Linker-CN_centered_z37_inc_L000,3.7,0.0,-29.0727216897722
Porphrin_Linker-CN_centered_z37_inc_L010,3.7,1.0,-29.08860480551136
Porphrin_Linker-CN_centered_z37_inc_L020,3.7,2.0,-29.099544311482113
Porphrin_Linker-CN_centered_z37_inc_L030,3.7,3.0,-29.092393301374187
Porphrin_Linker-CN_centered_z37_inc_L040,3.7,4.0,-29.08425107206555
Porphrin_Linker-CN_centered_z37_inc_L050,3.7,5.0,-29.064268568757587
Porphrin_Linker-CN_centered_z37_inc_L060,3.7,6.0,-29.04317167858118
Porphrin_Linker-CN_centered_z37_inc_L070,3.7,7.0,-29.018603476783294
Porphrin_Linker-CN_centered_z37_inc_L080,3.7,8.0,-28.991007432932353
Porphrin_Linker-CN_centered_z37_inc_L090,3.7,9.0,-28.971565719952164
Porphrin_Linker-CN_centered_z37_inc_L100,3.7,10.0,-28.948959336882726
Porphrin_Linker-CN_centered_z37_inc_L110,3.7,11.0,-28.936286317267825
Porphrin_Linker-CN_centered_z37_inc_L120,3.7,12.0,-28.932219630086003
Porphrin_Linker-CN_centered_z37_inc_L130,3.7,13.0,-28.932417889524668
Porphrin_Linker-CN_centered_z37_inc_L140,3.7,14.0,-28.933426659960993
Porphrin_Linker-CN_centered_z37_inc_L150,3.7,15.0,-28.93023153237902
Porphrin_Linker-CN_centered_z37_inc_L160,3.7,16.0,-28.926151297996647
Porphrin_Linker-CN_centered_z37_inc_L170,3.7,17.0,-28.926506028690085
Porphrin_Linker-CN_centered_z37_inc_L180,3.7,18.0,-28.928166649455513
Porphrin_Linker-CN_centered_z37_inc_L187,3.7,18.7,-28.92933668827832
Porphrin_Linker-CN_centered_z38_inc_L000,3.8,0.0,-29.063562690995717
Porphrin_Linker-CN_centered_z38_inc_L010,3.8,1.0,-29.078289668697217
Porphrin_Linker-CN_centered_z38_inc_L020,3.8,2.0,-29.087691217177564
Porphrin_Linker-CN_centered_z38_inc_L030,3.8,3.0,-29.0792701751346
Porphrin_Linker-CN_centered_z38_inc_L040,3.8,4.0,-29.07009727677851
Porphrin_Linker-CN_centered_z38_inc_L050,3.8,5.0,-29.05121116658253
Porphrin_Linker-CN_centered_z38_inc_L060,3.8,6.0,-29.03091024061083
Porphrin_Linker-CN_centered_z38_inc_L070,3.8,7.0,-29.00621924971449
Porphrin_Linker-CN_centered_z38_inc_L080,3.8,8.0,-28.97933679201427
Porphrin_Linker-CN_centered_z38_inc_L090,3.8,9.0,-28.961231597286325
Porphrin_Linker-CN_centered_z38_inc_L100,3.8,10.0,-28.93921760567587
Porphrin_Linker-CN_centered_z38_inc_L110,3.8,11.0,-28.92740945945386
Porphrin_Linker-CN_centered_z38_inc_L120,3.8,12.0,-28.923430270603
Porphrin_Linker-CN_centered_z38_inc_L130,3.8,13.0,-28.923257019433784
