structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z37_L087_incl,3.7,8.7,-1289.0658040662,0.01833981720005795
cof-1_z38_L000_incl,3.8,0.0,-1289.0676551305,0.01648875289993157
cof-1_z38_L010_incl,3.8,1.0,-1289.071560641,0.012583242400069139
cof-1_z38_L020_incl,3.8,2.0,-1289.074413612,0.009730271400030688
cof-1_z38_L030_incl,3.8,3.0,-1289.0737656856,0.010378197800037015
cof-1_z38_L040_incl,3.8,4.0,-1289.0725860897,0.011557793699921604
cof-1_z38_L050_incl,3.8,5.0,-1289.0698505573,0.014293326099959813
cof-1_z38_L060_incl,3.8,6.0,-1289.066570382,0.017573501399965608
cof-1_z38_L070_incl,3.8,7.0,-1289.0640830316,0.02006085180005357
cof-1_z38_L080_incl,3.8,8.0,-1289.0636105117,0.020533371699912095
cof-1_z38_L087_incl,3.8,8.7,-1289.0637971395,0.020346743900063302
cof-1_z39_L000_incl,3.9,0.0,-1289.0663628196,0.017781063799930052
cof-1_z39_L010_incl,3.9,1.0,-1289.06923208,0.014911803400082135
cof-1_z39_L020_incl,3.9,2.0,-1289.0715944531,0.012549430299941378
cof-1_z39_L030_incl,3.9,3.0,-1289.0712564242,0.012887459199873774
cof-1_z39_L040_incl,3.9,4.0,-1289.0700724261,0.014071457299905887
cof-1_z39_L050_incl,3.9,5.0,-1289.0674660061,0.01667787730002601
cof-1_z39_L060_incl,3.9,6.0,-1289.0645538368,0.0195900465998875
cof-1_z39_L070_incl,3.9,7.0,-1289.0623186559,0.02182522749990312
cof-1_z39_L080_incl,3.9,8.0,-1289.0617605554,0.02238332799993259
cof-1_z39_L087_incl,3.9,8.7,-1289.0619234703,0.022220413100058067
cof-1_z40_L000_incl,4.0,0.0,-1289.0645431688,0.019600714600073843
cof-1_z40_L010_incl,4.0,1.0,-1289.0668614006,0.017282482800055732
cof-1_z40_L020_incl,4.0,2.0,-1289.0687860099,0.015357873500079222
cof-1_z40_L030_incl,4.0,3.0,-1289.0687578926,0.015385990800041327
cof-1_z40_L040_incl,4.0,4.0,-1289.0678159047,0.01632797870001923
cof-1_z40_L050_incl,4.0,5.0,-1289.0652792835,0.018864599899870882
cof-1_z40_L060_incl,4.0,6.0,-1289.0626524101,0.021491473299874997
cof-1_z40_L070_incl,4.0,7.0,-1289.0606206844,0.02352319900001021
cof-1_z40_L080_incl,4.0,8.0,-1289.0600259283,0.024117955099882238
cof-1_z40_L087_incl,4.0,8.7,-1289.0601221739,0.024021709499947974
cof-1_z41_L000_incl,4.1,0.0,-1289.0628127177,0.02133116570007587
cof-1_z41_L010_incl,4.1,1.0,-1289.0645085341,0.01963534929996058
cof-1_z41_L020_incl,4.1,2.0,-1289.0662060425,0.01793784090000372
cof-1_z41_L030_incl,4.1,3.0,-1289.0663472867,0.017796596700009104
cof-1_z41_L040_incl,4.1,4.0,-1289.0655203717,0.018623511700070594
cof-1_z41_L050_incl,4.1,5.0,-1289.0631962107,0.02094767270000375
cof-1_z41_L060_incl,4.1,6.0,-1289.0609098103,0.02323407309995673
cof-1_z41_L070_incl,4.1,7.0,-1289.059081181,0.02506270239996411
cof-1_z41_L080_incl,4.1,8.0,-1289.0584498762,0.02569400719994519
cof-1_z41_L087_incl,4.1,8.7,-1289.0586409027,0.02550298069991186
cof-1_z42_L000_incl,4.2,0.0,-1289.0609154621,0.023228421300018454
cof-1_z42_L010_incl,4.2,1.0,-1289.0623231677,0.021820715699959692
cof-1_z42_L020_incl,4.2,2.0,-1289.0638283898,0.02031549360003737
cof-1_z42_L030_incl,4.2,3.0,-1289.0641045576,0.02003932579987122
cof-1_z42_L040_incl,4.2,4.0,-1289.0633885157,0.02075536770007602
cof-1_z42_L050_incl,4.2,5.0,-1289.0613566452,0.022787238199953208
cof-1_z42_L060_incl,4.2,6.0,-1289.0592659788,0.024877904599861722
cof-1_z42_L070_incl,4.2,7.0,-1289.0576792759,0.02646460749997459
cof-1_z42_L080_incl,4.2,8.0,-1289.0570836202,0.02706026319992816
cof-1_z42_L087_incl,4.2,8.7,-1289.0571038681,0.027040015299917286
cof-1_z43_L000_incl,4.3,0.0,-1289.0591672411,0.02497664229986185
cof-1_z43_L010_incl,4.3,1.0,-1289.0603978106,0.023746072799895046
cof-1_z43_L020_incl,4.3,2.0,-1289.0616462572,0.022497626199992737
cof-1_z43_L030_incl,4.3,3.0,-1289.0620374892,0.02210639419990912
cof-1_z43_L040_incl,4.3,4.0,-1289.0613059953,0.022837888099957127
cof-1_z43_L050_incl,4.3,5.0,-1289.0596300457,0.024513837699942087
cof-1_z43_L060_incl,4.3,6.0,-1289.0578276552,0.02631622819990298
cof-1_z43_L070_incl,4.3,7.0,-1289.0563581691,0.027785714300080144
cof-1_z43_L080_incl,4.3,8.0,-1289.0557595559,0.028384327499907158
cof-1_z43_L087_incl,4.3,8.7,-1289.0557277997,0.028416083699994488
cof-1_z44_L000_incl,4.4,0.0,-1289.0576321708,0.026511712600040482
cof-1_z44_L010_incl,4.4,1.0,-1289.0585963436,0.025547539800072627
cof-1_z44_L020_incl,4.4,2.0,-1289.0597682066,0.024375676799991197
cof-1_z44_L030_incl,4.4,3.0,-1289.0601624362,0.023981447199957984
cof-1_z44_L040_incl,4.4,4.0,-1289.0594981757,0.024645707700074126
cof-1_z44_L050_incl,4.4,5.0,-1289.0581085097,0.026035373699869524
cof-1_z44_L060_incl,4.4,6.0,-1289.0564343847,0.027709498700005497
cof-1_z44_L070_incl,4.4,7.0,-1289.05512791,0.029015973399964423
cof-1_z44_L080_incl,4.4,8.0,-1289.0546021064,0.029541777000076763
cof-1_z44_L087_incl,4.4,8.7,-1289.0545306475,0.029613235899887513
cof-1_z45_L000_incl,4.5,0.0,-1289.0560769504,0.028066932999990968
cof-1_z45_L010_incl,4.5,1.0,-1289.0569353705,0.027208512899960624
cof-1_z45_L020_incl,4.5,2.0,-1289.0580230373,0.026120846099956907
cof-1_z45_L030_incl,4.5,3.0,-1289.0584558215,0.02568806189992756
cof-1_z45_L040_incl,4.5,4.0,-1289.0578838205,0.02626006290006444
cof-1_z45_L050_incl,4.5,5.0,-1289.0566408117,0.027503071700039072
cof-1_z45_L060_incl,4.5,6.0,-1289.0551664795,0.028977403899943965
cof-1_z45_L070_incl,4.5,7.0,-1289.0540325281,0.03011135530005049
cof-1_z45_L080_incl,4.5,8.0,-1289.0535367583,0.03060712510000485
cof-1_z45_L087_incl,4.5,8.7,-1289.0533956486,0.030748234800057617
