structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z37_L087_serr,3.7,8.7,-2578.1320231199,0.03554476989984323
cof-1_z38_L000_serr,3.8,0.0,-2578.1353099226,0.032257967200166604
cof-1_z38_L010_serr,3.8,1.0,-2578.1431253878,0.024442502000056265
cof-1_z38_L020_serr,3.8,2.0,-2578.1485516474,0.019016242400084593
cof-1_z38_L030_serr,3.8,3.0,-2578.1474171105,0.020150779299910937
cof-1_z38_L040_serr,3.8,4.0,-2578.1452287315,0.022339158299928386
cof-1_z38_L050_serr,3.8,5.0,-2578.1399522756,0.02761561419993086
cof-1_z38_L060_serr,3.8,6.0,-2578.1334953018,0.034072588000071846
cof-1_z38_L070_serr,3.8,7.0,-2578.1284120657,0.03915582409990748
cof-1_z38_L080_serr,3.8,8.0,-2578.1275024273,0.040065462500024296
cof-1_z38_L087_serr,3.8,8.7,-2578.1279354238,0.03963246600005732
cof-1_z39_L000_serr,3.9,0.0,-2578.1327255278,0.0348423619998357
cof-1_z39_L010_serr,3.9,1.0,-2578.1384474822,0.02912040760020318
cof-1_z39_L020_serr,3.9,2.0,-2578.1430345868,0.024533303000225715
cof-1_z39_L030_serr,3.9,3.0,-2578.1424149411,0.02515294869999707
cof-1_z39_L040_serr,3.9,4.0,-2578.1402127979,0.02735509190006269
cof-1_z39_L050_serr,3.9,5.0,-2578.135081168,0.03248672180006906
cof-1_z39_L060_serr,3.9,6.0,-2578.1293776738,0.03819021600020278
cof-1_z39_L070_serr,3.9,7.0,-2578.1248477578,0.04272013199988578
cof-1_z39_L080_serr,3.9,8.0,-2578.1237359893,0.043831900500208576
cof-1_z39_L087_serr,3.9,8.7,-2578.1241072722,0.043460617599976104
cof-1_z40_L000_serr,4.0,0.0,-2578.1290863325,0.03848155730020153
cof-1_z40_L010_serr,4.0,1.0,-2578.1336823881,0.03388550169984228
cof-1_z40_L020_serr,4.0,2.0,-2578.1374533679,0.030114521900031832
cof-1_z40_L030_serr,4.0,3.0,-2578.1374400932,0.030127796600027068
cof-1_z40_L040_serr,4.0,4.0,-2578.1356475262,0.03192036359996564
cof-1_z40_L050_serr,4.0,5.0,-2578.1306589882,0.03690890159987248
cof-1_z40_L060_serr,4.0,6.0,-2578.1255179579,0.042049931900237425
cof-1_z40_L070_serr,4.0,7.0,-2578.1214086365,0.046159253300174896
cof-1_z40_L080_serr,4.0,8.0,-2578.1202125301,0.04735535969984994
cof-1_z40_L087_serr,4.0,8.7,-2578.120496933,0.047070956799871055
cof-1_z41_L000_serr,4.1,0.0,-2578.1256254982,0.041942391600059636
cof-1_z41_L010_serr,4.1,1.0,-2578.128991738,0.03857615180004359
cof-1_z41_L020_serr,4.1,2.0,-2578.132328131,0.03523975879988939
cof-1_z41_L030_serr,4.1,3.0,-2578.1326516871,0.03491620270006024
cof-1_z41_L040_serr,4.1,4.0,-2578.1310700339,0.036497855900051945
cof-1_z41_L050_serr,4.1,5.0,-2578.1264713509,0.04109653890009213
cof-1_z41_L060_serr,4.1,6.0,-2578.1219998896,0.045568000200091774
