structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z37_L087_serr,3.7,8.7,-22.037720226327796,0.0898875427999215
cof-1_z38_L000_serr,3.8,0.0,-22.11104469159618,0.016563077531536408
cof-1_z38_L010_serr,3.8,1.0,-22.105514870938265,0.02209289818945237
cof-1_z38_L020_serr,3.8,2.0,-22.089914440449604,0.03769332867811315
cof-1_z38_L030_serr,3.8,3.0,-22.08337101858576,0.04423675054195897
cof-1_z38_L040_serr,3.8,4.0,-22.063910053114054,0.06369771601366381
cof-1_z38_L050_serr,3.8,5.0,-22.039813358815735,0.08779441031198232
cof-1_z38_L060_serr,3.8,6.0,-22.026535912762988,0.10107185636472948
cof-1_z38_L070_serr,3.8,7.0,-22.021326493582553,0.10628127554516453
cof-1_z38_L080_serr,3.8,8.0,-22.019379283882685,0.10822848524503215
cof-1_z38_L087_serr,3.8,8.7,-22.022697587129493,0.10491018199822477
cof-1_z39_L000_serr,3.9,0.0,-22.102503236042818,0.025104533084899572
cof-1_z39_L010_serr,3.9,1.0,-22.095923692112578,0.03168407701513942
cof-1_z39_L020_serr,3.9,2.0,-22.076570220818716,0.05103754830900087
cof-1_z39_L030_serr,3.9,3.0,-22.067599766849575,0.06000800227814196
cof-1_z39_L040_serr,3.9,4.0,-22.048167666164343,0.07944010296337467
cof-1_z39_L050_serr,3.9,5.0,-22.024877078406647,0.10273069072107077
cof-1_z39_L060_serr,3.9,6.0,-22.013402675515568,0.11420509361214926
cof-1_z39_L070_serr,3.9,7.0,-22.00852164678484,0.1190861223428783
cof-1_z39_L080_serr,3.9,8.0,-22.005510763853245,0.12209700527447254
cof-1_z39_L087_serr,3.9,8.7,-22.007759924643228,0.11984784448448949
cof-1_z40_L000_serr,4.0,0.0,-22.091880599360973,0.03572716976674428
cof-1_z40_L010_serr,4.0,1.0,-22.083764066006925,0.043843703120792554
cof-1_z40_L020_serr,4.0,2.0,-22.061863783537614,0.0657439855901032
cof-1_z40_L030_serr,4.0,3.0,-22.04995809046685,0.07764967866086891
cof-1_z40_L040_serr,4.0,4.0,-22.03124161592853,0.09636615319918818
cof-1_z40_L050_serr,4.0,5.0,-22.009290592808018,0.11831717631969951
cof-1_z40_L060_serr,4.0,6.0,-21.999661123118383,0.12794664600933459
cof-1_z40_L070_serr,4.0,7.0,-21.995098341165445,0.1325094279622725
cof-1_z40_L080_serr,4.0,8.0,-21.99187508429099,0.13573268483672862
cof-1_z40_L087_serr,4.0,8.7,-21.993383737920986,0.1342240312067311
cof-1_z41_L000_serr,4.1,0.0,-22.07832783353547,0.04927993559224575
cof-1_z41_L010_serr,4.1,1.0,-22.069142501848024,0.05846526727969348
cof-1_z41_L020_serr,4.1,2.0,-22.046343785048606,0.0812639840791114
cof-1_z41_L030_serr,4.1,3.0,-22.031049090732044,0.09655867839567378
cof-1_z41_L040_serr,4.1,4.0,-22.013135667023057,0.11447210210465997
