structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z37_L087_serr,3.7,8.7,-21.860814509227392,0.05167493803883261
cof-1_z38_L000_serr,3.8,0.0,-21.910615944306965,0.0018735029592598096
cof-1_z38_L010_serr,3.8,1.0,-21.90659829017946,0.00589115708676502
cof-1_z38_L020_serr,3.8,2.0,-21.894990275256426,0.017499172009799224
cof-1_z38_L030_serr,3.8,3.0,-21.893519778086237,0.018969669179988102
cof-1_z38_L040_serr,3.8,4.0,-21.87898085783752,0.03350858942870616
cof-1_z38_L050_serr,3.8,5.0,-21.859018232375174,0.05347121489105078
cof-1_z38_L060_serr,3.8,6.0,-21.84903228363312,0.06345716363310316
cof-1_z38_L070_serr,3.8,7.0,-21.846354043021833,0.0661354042443918
cof-1_z38_L080_serr,3.8,8.0,-21.845990374625956,0.06649907264026922
cof-1_z38_L087_serr,3.8,8.7,-21.849643760049705,0.06284568721651951
cof-1_z39_L000_serr,3.9,0.0,-21.908360117560164,0.004129329706060503
cof-1_z39_L010_serr,3.9,1.0,-21.90314217855833,0.00934726870789504
cof-1_z39_L020_serr,3.9,2.0,-21.887370573629365,0.025118873636859718
cof-1_z39_L030_serr,3.9,3.0,-21.882952083856427,0.029537363409797734
cof-1_z39_L040_serr,3.9,4.0,-21.867940993568254,0.04454845369797056
cof-1_z39_L050_serr,3.9,5.0,-21.84837222838076,0.06411721888546396
cof-1_z39_L060_serr,3.9,6.0,-21.839866085076793,0.07262336218943233
cof-1_z39_L070_serr,3.9,7.0,-21.837266491278175,0.07522295598804973
cof-1_z39_L080_serr,3.9,8.0,-21.835679615832426,0.07680983143379905
cof-1_z39_L087_serr,3.9,8.7,-21.838228278406955,0.07426116885926959
cof-1_z40_L000_serr,4.0,0.0,-21.9034890804858,0.009000366780423263
cof-1_z40_L010_serr,4.0,1.0,-21.896592705359595,0.01589674190663004
cof-1_z40_L020_serr,4.0,2.0,-21.877895496158303,0.034593951107922294
cof-1_z40_L030_serr,4.0,3.0,-21.87006467097483,0.042424776291394295
cof-1_z40_L040_serr,4.0,4.0,-21.855311203826105,0.057178243440120013
cof-1_z40_L050_serr,4.0,5.0,-21.836707183435202,0.07578226383102304
cof-1_z40_L060_serr,4.0,6.0,-21.829751938249917,0.08273750901630805
cof-1_z40_L070_serr,4.0,7.0,-21.827241920439906,0.08524752682631842
cof-1_z40_L080_serr,4.0,8.0,-21.825294783513137,0.08719466375308826
cof-1_z40_L087_serr,4.0,8.7,-21.82707167862447,0.08541776864175432
cof-1_z41_L000_serr,4.1,0.0,-21.89517294564604,0.017316501620186386
cof-1_z41_L010_serr,4.1,1.0,-21.88707899851851,0.025410448747713588
cof-1_z41_L020_serr,4.1,2.0,-21.867136908062676,0.04535253920354876
cof-1_z41_L030_serr,4.1,3.0,-21.855482203144845,0.057007244121379586
cof-1_z41_L040_serr,4.1,4.0,-21.84111853669507,0.07137091057115441
cof-1_z41_L050_serr,4.1,5.0,-21.82396377486233,0.0885256724038932
cof-1_z41_L060_serr,4.1,6.0,-21.818727397434433,0.09376204983179193
cof-1_z41_L070_serr,4.1,7.0,-21.816387205557657,0.09610224170856796
cof-1_z41_L080_serr,4.1,8.0,-21.814512680448242,0.09797676681798251
cof-1_z41_L087_serr,4.1,8.7,-21.815874394849182,0.09661505241704305
cof-1_z42_L000_serr,4.2,0.0,-21.882718841773517,0.029770605492707602
cof-1_z42_L010_serr,4.2,1.0,-21.875140491386247,0.03734895587997755
cof-1_z42_L020_serr,4.2,2.0,-21.85530720653231,0.057182240733915535
cof-1_z42_L030_serr,4.2,3.0,-21.840037550709337,0.07245189655688833
cof-1_z42_L040_serr,4.2,4.0,-21.825965839060103,0.0865236082061216
cof-1_z42_L050_serr,4.2,5.0,-21.810471728582208,0.10201771868401721
cof-1_z42_L060_serr,4.2,6.0,-21.806913465800697,0.10557598146552749
cof-1_z42_L070_serr,4.2,7.0,-21.804899144907523,0.1075903023587017
cof-1_z42_L080_serr,4.2,8.0,-21.803156654207157,0.10933279305906751
cof-1_z42_L087_serr,4.2,8.7,-21.80384818434438,0.1086412629218465
cof-1_z43_L000_serr,4.3,0.0,-21.866979164255,0.04551028301122528
cof-1_z43_L010_serr,4.3,1.0,-21.861541928991663,0.05094751827456179
cof-1_z43_L020_serr,4.3,2.0,-21.842316905969106,0.07017254129711858
cof-1_z43_L030_serr,4.3,3.0,-21.82469891083323,0.08779053643299406
cof-1_z43_L040_serr,4.3,4.0,-21.810716306588628,0.10177314067759724
cof-1_z43_L050_serr,4.3,5.0,-21.796871680854803,0.11561776641142174
cof-1_z43_L060_serr,4.3,6.0,-21.79457597745232,0.1179134698139066
cof-1_z43_L070_serr,4.3,7.0,-21.79303363994528,0.1194558073209464
cof-1_z43_L080_serr,4.3,8.0,-21.791415886258612,0.1210735610076128
cof-1_z43_L087_serr,4.3,8.7,-21.791046266424924,0.12144318084130035
cof-1_z44_L000_serr,4.4,0.0,-21.849901258433363,0.0625881888328621
cof-1_z44_L010_serr,4.4,1.0,-21.846697406562143,0.06579204070408196
cof-1_z44_L020_serr,4.4,2.0,-21.82831341888585,0.08417602838037652
cof-1_z44_L030_serr,4.4,3.0,-21.810228567154002,0.10226088011222245
cof-1_z44_L040_serr,4.4,4.0,-21.79603481813269,0.11645462913353555
cof-1_z44_L050_serr,4.4,5.0,-21.783833937308945,0.12865550995728015
cof-1_z44_L060_serr,4.4,6.0,-21.782132297473623,0.1303571497926015
cof-1_z44_L070_serr,4.4,7.0,-21.781128095981554,0.13136135128467075
cof-1_z44_L080_serr,4.4,8.0,-21.779690061724164,0.13279938554206083
cof-1_z44_L087_serr,4.4,8.7,-21.778534403962265,0.1339550433039598
cof-1_z45_L000_serr,4.5,0.0,-21.832620995565687,0.07986845170053769
cof-1_z45_L010_serr,4.5,1.0,-21.83049366431407,0.0819957829521556
cof-1_z45_L020_serr,4.5,2.0,-21.81369811258603,0.09879133468019319
cof-1_z45_L030_serr,4.5,3.0,-21.79685903583538,0.11563041143084618
cof-1_z45_L040_serr,4.5,4.0,-21.782293774277964,0.13019567298826118
cof-1_z45_L050_serr,4.5,5.0,-21.771786553457662,0.14070289380856238
cof-1_z45_L060_serr,4.5,6.0,-21.770020549509358,0.1424688977568671
cof-1_z45_L070_serr,4.5,7.0,-21.769538833852025,0.14295061341420023
cof-1_z45_L080_serr,4.5,8.0,-21.768279284572305,0.14421016269391984
cof-1_z45_L087_serr,4.5,8.7,-21.767181227891193,0.1453082193750319
