structure,z,L,energy_Eh,energy_rel_Eh
cof-1_z37_L087_incl,3.7,8.7,-10.942059220291283,0.030829722212850186
cof-1_z38_L000_incl,3.8,0.0,-10.955307972027418,0.017580970476714697
cof-1_z38_L010_incl,3.8,1.0,-10.95601425860499,0.01687468389914315
cof-1_z38_L020_incl,3.8,2.0,-10.95243522447723,0.020453718026903545
cof-1_z38_L030_incl,3.8,3.0,-10.948607612537556,0.024281329966576948
cof-1_z38_L040_incl,3.8,4.0,-10.939795109529967,0.03309383297416524
cof-1_z38_L050_incl,3.8,5.0,-10.931282050046622,0.04160689245751037
cof-1_z38_L060_incl,3.8,6.0,-10.930714237076705,0.04217470542742774
cof-1_z38_L070_incl,3.8,7.0,-10.93223578349976,0.04065315900437305
cof-1_z38_L080_incl,3.8,8.0,-10.933380740799315,0.039508201704817836
cof-1_z38_L087_incl,3.8,8.7,-10.935136466972265,0.03775247553186745
cof-1_z39_L000_incl,3.9,0.0,-10.954180058949543,0.01870888355458966
cof-1_z39_L010_incl,3.9,1.0,-10.953694955853857,0.01919398665027572
cof-1_z39_L020_incl,3.9,2.0,-10.947571767510293,0.02531717499383923
cof-1_z39_L030_incl,3.9,3.0,-10.942362159439199,0.030526783064933838
cof-1_z39_L040_incl,3.9,4.0,-10.93382007584188,0.0390688666622534
cof-1_z39_L050_incl,3.9,5.0,-10.925506688068834,0.04738225443529842
cof-1_z39_L060_incl,3.9,6.0,-10.925336595669746,0.04755234683438658
cof-1_z39_L070_incl,3.9,7.0,-10.926968091477889,0.04592085102624388
cof-1_z39_L080_incl,3.9,8.0,-10.927259203812527,0.04562973869160558
cof-1_z39_L087_incl,3.9,8.7,-10.927979366368895,0.04490957613523783
cof-1_z40_L000_incl,4.0,0.0,-10.951744540009672,0.02114440249446048
cof-1_z40_L010_incl,4.0,1.0,-10.949775989816935,0.02311295268719782
cof-1_z40_L020_incl,4.0,2.0,-10.941671715281213,0.03121722722291942
cof-1_z40_L030_incl,4.0,3.0,-10.935087394351127,0.037801548153005626
cof-1_z40_L040_incl,4.0,4.0,-10.927083393877705,0.045805548626427495
cof-1_z40_L050_incl,4.0,5.0,-10.91932891992336,0.05356002258077197
cof-1_z40_L060_incl,4.0,6.0,-10.919496629888005,0.05339231261612731
cof-1_z40_L070_incl,4.0,7.0,-10.921159033787655,0.05172990871647798
cof-1_z40_L080_incl,4.0,8.0,-10.92101279077168,0.051876151732452414
cof-1_z40_L087_incl,4.0,8.7,-10.921035989475905,0.05185295302822723
cof-1_z41_L000_incl,4.1,0.0,-10.947586472702833,0.02530246980130002
cof-1_z41_L010_incl,4.1,1.0,-10.944404049414567,0.02848489308956559
cof-1_z41_L020_incl,4.1,2.0,-10.93512081855534,0.037768123948792365
cof-1_z41_L030_incl,4.1,3.0,-10.927209075924589,0.045679866579543926
cof-1_z41_L040_incl,4.1,4.0,-10.91974159115115,0.05314735135298321
cof-1_z41_L050_incl,4.1,5.0,-10.912763783305111,0.06012515919902128
cof-1_z41_L060_incl,4.1,6.0,-10.91337458132046,0.05951436118367326
cof-1_z41_L070_incl,4.1,7.0,-10.91492039915553,0.05796854334860235
cof-1_z41_L080_incl,4.1,8.0,-10.914487224389193,0.05840171811493988
cof-1_z41_L087_incl,4.1,8.7,-10.9142502287831,0.05863871372103269
cof-1_z42_L000_incl,4.2,0.0,-10.941359420936852,0.03152952156728084
cof-1_z42_L010_incl,4.2,1.0,-10.937908725581094,0.034980216923038654
cof-1_z42_L020_incl,4.2,2.0,-10.928179817122306,0.04470912538182681
cof-1_z42_L030_incl,4.2,3.0,-10.919181752626734,0.05370718987739842
cof-1_z42_L040_incl,4.2,4.0,-10.912171593458023,0.0607173490461097
cof-1_z42_L050_incl,4.2,5.0,-10.906009511926388,0.06687943057774426
cof-1_z42_L060_incl,4.2,6.0,-10.907084445188513,0.06580449731561977
cof-1_z42_L070_incl,4.2,7.0,-10.908403323585329,0.06448561891880367
cof-1_z42_L080_incl,4.2,8.0,-10.907644716372351,0.0652442261317816
cof-1_z42_L087_incl,4.2,8.7,-10.907197275090455,0.06569166741367738
cof-1_z43_L000_incl,4.3,0.0,-10.93348958212804,0.03939936037609293
cof-1_z43_L010_incl,4.3,1.0,-10.930701136978465,0.0421878055256677
cof-1_z43_L020_incl,4.3,2.0,-10.9209932536626,0.05189568884153317
cof-1_z43_L030_incl,4.3,3.0,-10.91146979546502,0.06141914703911233
cof-1_z43_L040_incl,4.3,4.0,-10.904812724424191,0.06807621807994124
cof-1_z43_L050_incl,4.3,5.0,-10.899380540177134,0.07350840232699873
cof-1_z43_L060_incl,4.3,6.0,-10.900701838565647,0.07218710393848582
cof-1_z43_L070_incl,4.3,7.0,-10.901736696165067,0.07115224633906614
cof-1_z43_L080_incl,4.3,8.0,-10.900644830000841,0.07224411250329155
cof-1_z43_L087_incl,4.3,8.7,-10.899858688635014,0.07303025386911877
cof-1_z44_L000_incl,4.4,0.0,-10.924950629037227,0.047938313466906024
cof-1_z44_L010_incl,4.4,1.0,-10.922991149304616,0.04989779319951637
cof-1_z44_L020_incl,4.4,2.0,-10.913734438968914,0.05915450353521834
cof-1_z44_L030_incl,4.4,3.0,-10.904408419438324,0.06848052306580854
cof-1_z44_L040_incl,4.4,4.0,-10.897938219076508,0.07495072342762477
cof-1_z44_L050_incl,4.4,5.0,-10.893141133327875,0.07974780917625779
cof-1_z44_L060_incl,4.4,6.0,-10.894373523946864,0.07851541855726829
cof-1_z44_L070_incl,4.4,7.0,-10.89506921397787,0.07781972852626318
cof-1_z44_L080_incl,4.4,8.0,-10.893742879155194,0.07914606334893826
cof-1_z44_L087_incl,4.4,8.7,-10.892764373638313,0.08012456886581987
cof-1_z45_L000_incl,4.5,0.0,-10.916310497722606,0.05657844478152718
cof-1_z45_L010_incl,4.5,1.0,-10.914728849019983,0.0581600934841493
cof-1_z45_L020_incl,4.5,2.0,-10.906535637867197,0.06635330463693556
cof-1_z45_L030_incl,4.5,3.0,-10.89804187445511,0.07484706804902252
cof-1_z45_L040_incl,4.5,4.0,-10.891608799615964,0.08128014288816843
cof-1_z45_L050_incl,4.5,5.0,-10.887384436551244,0.08550450595288872
cof-1_z45_L060_incl,4.5,6.0,-10.88825862310966,0.08463031939447241
cof-1_z45_L070_incl,4.5,7.0,-10.888583244275036,0.08430569822909639
cof-1_z45_L080_incl,4.5,8.0,-10.88713558277278,0.08575335973135267
cof-1_z45_L087_incl,4.5,8.7,-10.886331944517856,0.08655699798627658
