structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-diff_z39_L120_incl,3.9,12.0,-155801.12168079783,1.56566818189458
PDI-BT-COF-diff_z39_L130_incl,3.9,13.0,-155801.13197732205,1.5553716576832812
PDI-BT-COF-diff_z39_L140_incl,3.9,14.0,-155801.11581747636,1.5715315033739898
PDI-BT-COF-diff_z39_L150_incl,3.9,15.0,-155800.93068355625,1.756665423483355
PDI-BT-COF-diff_z39_L160_incl,3.9,16.0,-155799.37208506206,3.315263917669654
PDI-BT-COF-diff_z39_L162_incl,3.9,16.2,-155799.0974987796,3.589850200136425
PDI-BT-COF-diff_z40_L000_incl,4.0,0.0,-155802.68734897973,0.0
PDI-BT-COF-diff_z40_L010_incl,4.0,1.0,-155802.313261901,0.3740870787296444
PDI-BT-COF-diff_z40_L020_incl,4.0,2.0,-155802.36983468008,0.3175142996478826
PDI-BT-COF-diff_z40_L030_incl,4.0,3.0,-155802.1893029861,0.49804599361959845
PDI-BT-COF-diff_z40_L040_incl,4.0,4.0,-155802.27348874102,0.4138602387101855
PDI-BT-COF-diff_z40_L050_incl,4.0,5.0,-155802.3183881824,0.36896079732105136
PDI-BT-COF-diff_z40_L060_incl,4.0,6.0,-155802.0224028477,0.664946132019395
PDI-BT-COF-diff_z40_L070_incl,4.0,7.0,-155801.5887862693,1.098562710423721
PDI-BT-COF-diff_z40_L080_incl,4.0,8.0,-155801.3631381584,1.3242108213307802
PDI-BT-COF-diff_z40_L090_incl,4.0,9.0,-155801.31573813257,1.371610847156262
PDI-BT-COF-diff_z40_L100_incl,4.0,10.0,-155801.31745335227,1.3698956274602097
PDI-BT-COF-diff_z40_L110_incl,4.0,11.0,-155801.27780774873,1.409541230998002
PDI-BT-COF-diff_z40_L120_incl,4.0,12.0,-155801.16457640822,1.5227725715085398
PDI-BT-COF-diff_z40_L130_incl,4.0,13.0,-155801.1553938441,1.531955135636963
PDI-BT-COF-diff_z40_L140_incl,4.0,14.0,-155801.13468479275,1.5526641869801097
PDI-BT-COF-diff_z40_L150_incl,4.0,15.0,-155800.9888774513,1.6984715284197591
PDI-BT-COF-diff_z40_L160_incl,4.0,16.0,-155799.87316373287,2.814185246854322
PDI-BT-COF-diff_z40_L162_incl,4.0,16.2,-155799.69772170848,2.989627271250356
PDI-BT-COF-diff_z41_L000_incl,4.1,0.0,-155802.6318277977,0.05552118201740086
PDI-BT-COF-diff_z41_L010_incl,4.1,1.0,-155802.33459815293,0.35275082680163905
PDI-BT-COF-diff_z41_L020_incl,4.1,2.0,-155802.377142919,0.31020606073434465
PDI-BT-COF-diff_z41_L030_incl,4.1,3.0,-155802.21739033013,0.46995864959899336
PDI-BT-COF-diff_z41_L040_incl,4.1,4.0,-155802.22318253302,0.4641664467053488
PDI-BT-COF-diff_z41_L050_incl,4.1,5.0,-155802.19425507783,0.49309390189591795
PDI-BT-COF-diff_z41_L060_incl,4.1,6.0,-155801.9241683009,0.7631806788267568
PDI-BT-COF-diff_z41_L070_incl,4.1,7.0,-155801.5662599695,1.1210890102374833
PDI-BT-COF-diff_z41_L080_incl,4.1,8.0,-155801.3613880849,1.325960894842865
PDI-BT-COF-diff_z41_L090_incl,4.1,9.0,-155801.2920979694,1.3952510103408713
PDI-BT-COF-diff_z41_L100_incl,4.1,10.0,-155801.26770834668,1.4196406330447644
PDI-BT-COF-diff_z41_L110_incl,4.1,11.0,-155801.23646877977,1.45088019996183
PDI-BT-COF-diff_z41_L120_incl,4.1,12.0,-155801.14883975656,1.5385092231736053
PDI-BT-COF-diff_z41_L130_incl,4.1,13.0,-155801.12618832014,1.561160659592133
PDI-BT-COF-diff_z41_L140_incl,4.1,14.0,-155801.10536351573,1.5819854639994446
PDI-BT-COF-diff_z41_L150_incl,4.1,15.0,-155800.99259036878,1.6947586109454278
PDI-BT-COF-diff_z41_L160_incl,4.1,16.0,-155800.19048429662,2.4968646831111982
PDI-BT-COF-diff_z41_L162_incl,4.1,16.2,-155800.0727656625,2.6145833172195125
PDI-BT-COF-diff_z42_L000_incl,4.2,0.0,-155802.51438811776,0.1729608619643841
PDI-BT-COF-diff_z42_L010_incl,4.2,1.0,-155802.2796800259,0.40766895381966606
PDI-BT-COF-diff_z42_L020_incl,4.2,2.0,-155802.30564281266,0.38170616707066074
PDI-BT-COF-diff_z42_L030_incl,4.2,3.0,-155802.16104753135,0.5263014483789448
PDI-BT-COF-diff_z42_L040_incl,4.2,4.0,-155802.1165087159,0.5708402638265397
PDI-BT-COF-diff_z42_L050_incl,4.2,5.0,-155802.03960588036,0.6477430993691087
PDI-BT-COF-diff_z42_L060_incl,4.2,6.0,-155801.79869156482,0.8886574149073567
PDI-BT-COF-diff_z42_L070_incl,4.2,7.0,-155801.50353498387,1.183813995856326
PDI-BT-COF-diff_z42_L080_incl,4.2,8.0,-155801.3179463337,1.3694026460289024
PDI-BT-COF-diff_z42_L090_incl,4.2,9.0,-155801.23296549995,1.4543834797805175
PDI-BT-COF-diff_z42_L100_incl,4.2,10.0,-155801.191704185,1.495644794718828
PDI-BT-COF-diff_z42_L110_incl,4.2,11.0,-155801.16497526964,1.522373710089596
PDI-BT-COF-diff_z42_L120_incl,4.2,12.0,-155801.09444451288,1.5929044668446295
PDI-BT-COF-diff_z42_L130_incl,4.2,13.0,-155801.06305674886,1.6242922308738343
PDI-BT-COF-diff_z42_L140_incl,4.2,14.0,-155801.04496772544,1.6423812542925589
PDI-BT-COF-diff_z42_L150_incl,4.2,15.0,-155800.95916777005,1.7281812096771318
PDI-BT-COF-diff_z42_L160_incl,4.2,16.0,-155800.3829126923,2.3044362874352373
PDI-BT-COF-diff_z42_L162_incl,4.2,16.2,-155800.30269383016,2.3846551495662425
PDI-BT-COF-diff_z43_L000_incl,4.3,0.0,-155802.35452035707,0.33282862266059965
PDI-BT-COF-diff_z43_L010_incl,4.3,1.0,-155802.17085195746,0.5164970222685952
PDI-BT-COF-diff_z43_L020_incl,4.3,2.0,-155802.1793197144,0.5080292653292418
PDI-BT-COF-diff_z43_L030_incl,4.3,3.0,-155802.04610504757,0.6412439321575221
PDI-BT-COF-diff_z43_L040_incl,4.3,4.0,-155801.97219408574,0.7151548939873464
PDI-BT-COF-diff_z43_L050_incl,4.3,5.0,-155801.86691876725,0.8204302124795504
PDI-BT-COF-diff_z43_L060_incl,4.3,6.0,-155801.65664544387,1.0307035358564463
PDI-BT-COF-diff_z43_L070_incl,4.3,7.0,-155801.41361800235,1.2737309773801826
PDI-BT-COF-diff_z43_L080_incl,4.3,8.0,-155801.24616782204,1.4411811576865148
PDI-BT-COF-diff_z43_L090_incl,4.3,9.0,-155801.1510499092,1.5362990705179982
PDI-BT-COF-diff_z43_L100_incl,4.3,10.0,-155801.10027779496,1.5870711847674102
PDI-BT-COF-diff_z43_L110_incl,4.3,11.0,-155801.0751963204,1.6121526593342423
PDI-BT-COF-diff_z43_L120_incl,4.3,12.0,-155801.01609341078,1.6712555689446162
PDI-BT-COF-diff_z43_L130_incl,4.3,13.0,-155800.97998930133,1.7073596784030087
PDI-BT-COF-diff_z43_L140_incl,4.3,14.0,-155800.96624228297,1.721106696757488
PDI-BT-COF-diff_z43_L150_incl,4.3,15.0,-155800.90226637994,1.7850825997884385
PDI-BT-COF-diff_z43_L160_incl,4.3,16.0,-155800.4897132989,2.197635680815438
PDI-BT-COF-diff_z43_L162_incl,4.3,16.2,-155800.43463585884,2.2527131208917126
PDI-BT-COF-diff_z44_L000_incl,4.4,0.0,-155802.16715249335,0.5201964863808826
PDI-BT-COF-diff_z44_L010_incl,4.4,1.0,-155802.02483563725,0.6625133424822707
PDI-BT-COF-diff_z44_L020_incl,4.4,2.0,-155802.01632454057,0.6710244391579181
PDI-BT-COF-diff_z44_L030_incl,4.4,3.0,-155801.89246886809,0.7948801116435789
PDI-BT-COF-diff_z44_L040_incl,4.4,4.0,-155801.80452741135,0.8828215683752205
PDI-BT-COF-diff_z44_L050_incl,4.4,5.0,-155801.68559252893,1.0017564508016221
PDI-BT-COF-diff_z44_L060_incl,4.4,6.0,-155801.5058706587,1.1814783210284077
PDI-BT-COF-diff_z44_L070_incl,4.4,7.0,-155801.3064588644,1.3808901153388433
PDI-BT-COF-diff_z44_L080_incl,4.4,8.0,-155801.1562324757,1.5311165040184278
PDI-BT-COF-diff_z44_L090_incl,4.4,9.0,-155801.05575339124,1.631595588492928
PDI-BT-COF-diff_z44_L100_incl,4.4,10.0,-155801.0010806385,1.6862683412327897
PDI-BT-COF-diff_z44_L110_incl,4.4,11.0,-155800.9758405436,1.7115084361284971
PDI-BT-COF-diff_z44_L120_incl,4.4,12.0,-155800.92469351387,1.762655465863645
PDI-BT-COF-diff_z44_L130_incl,4.4,13.0,-155800.88738500714,1.7999639725894667
PDI-BT-COF-diff_z44_L140_incl,4.4,14.0,-155800.87863314032,1.8087158394046128
PDI-BT-COF-diff_z44_L150_incl,4.4,15.0,-155800.8323732839,1.8549756958382204
PDI-BT-COF-diff_z44_L160_incl,4.4,16.0,-155800.5380773683,2.1492716114153154
PDI-BT-COF-diff_z44_L162_incl,4.4,16.2,-155800.4998461114,2.1875028683280107
PDI-BT-COF-diff_z45_L000_incl,4.5,0.0,-155801.9634669362,0.723882043530466
PDI-BT-COF-diff_z45_L010_incl,4.5,1.0,-155801.85430868118,0.8330402985448018
PDI-BT-COF-diff_z45_L020_incl,4.5,2.0,-155801.83052538498,0.856823594745947
PDI-BT-COF-diff_z45_L030_incl,4.5,3.0,-155801.71540961336,0.9719393663690425
PDI-BT-COF-diff_z45_L040_incl,4.5,4.0,-155801.62423628103,1.0631126986991148
PDI-BT-COF-diff_z45_L050_incl,4.5,5.0,-155801.50269312185,1.1846558578836266
PDI-BT-COF-diff_z45_L060_incl,4.5,6.0,-155801.3521533211,1.3351956586411688
PDI-BT-COF-diff_z45_L070_incl,4.5,7.0,-155801.18962589704,1.4977230826916639
PDI-BT-COF-diff_z45_L080_incl,4.5,8.0,-155801.0559519649,1.6313970148330554
PDI-BT-COF-diff_z45_L090_incl,4.5,9.0,-155800.95408632714,1.7332626525894739
PDI-BT-COF-diff_z45_L100_incl,4.5,10.0,-155800.8993880299,1.787960949819535
PDI-BT-COF-diff_z45_L110_incl,4.5,11.0,-155800.87325201885,1.8140969608793966
PDI-BT-COF-diff_z45_L120_incl,4.5,12.0,-155800.82834404212,1.8590049376070965
PDI-BT-COF-diff_z45_L130_incl,4.5,13.0,-155800.79269541704,1.8946535626892
PDI-BT-COF-diff_z45_L140_incl,4.5,14.0,-155800.78892443475,1.898424544982845
PDI-BT-COF-diff_z45_L150_incl,4.5,15.0,-155800.75720693835,1.9301420413830783
PDI-BT-COF-diff_z45_L160_incl,4.5,16.0,-155800.54794960562,2.1393993741075974
PDI-BT-COF-diff_z45_L162_incl,4.5,16.2,-155800.52061932633,2.1667296533996705
PDI-BT-COF-diff_z46_L000_incl,4.6,0.0,-155801.75172963465,0.9356193450803403
PDI-BT-COF-diff_z46_L010_incl,4.6,1.0,-155801.6690708904,1.0182780893228482
PDI-BT-COF-diff_z46_L020_incl,4.6,2.0,-155801.63255744887,1.0547915308561642
PDI-BT-COF-diff_z46_L030_incl,4.6,3.0,-155801.52648036665,1.1608686130784918
PDI-BT-COF-diff_z46_L040_incl,4.6,4.0,-155801.43931764545,1.2480313342821319
PDI-BT-COF-diff_z46_L050_incl,4.6,5.0,-155801.32350831735,1.3638406623795163
