structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
COF-LZU-1_z33_L020_incl,incl,-46695.26837217958,0.0,False
COF-LZU-1_z34_L020_serr,serr,-46695.132760784254,0.1356113953224849,False
