Stacking,filename,ILD,ILS
serr,cof-1_z30_L087_serr.cif,2.9987453384734373,8.695793151499743
serr,cof-1_z33_L020_serr.cif,3.294750077675583,1.7896164059128568
serr,cof-1_z36_L000_serr.cif,3.2324486305463744,1.5246216424395296
incl,cof-1_z30_L087_incl.cif,2.4134721559880434,8.602783181637456
incl,cof-1_z33_L020_incl.cif,3.2357067160406427,1.92290170216544
incl,cof-1_z36_L000_incl.cif,3.2288459775021914,1.894133750027047
