structure,z,L,energy_Eh
cof-1_z40_L020_serr,4.0,2.0,-21.877895496158303
cof-1_z40_L030_serr,4.0,3.0,-21.87006467097483
cof-1_z40_L040_serr,4.0,4.0,-21.855311203826105
cof-1_z40_L050_serr,4.0,5.0,-21.836707183435202
cof-1_z40_L060_serr,4.0,6.0,-21.829751938249917
cof-1_z40_L070_serr,4.0,7.0,-21.827241920439906
cof-1_z40_L080_serr,4.0,8.0,-21.825294783513137
cof-1_z40_L087_serr,4.0,8.7,-21.82707167862447
cof-1_z41_L000_serr,4.1,0.0,-21.89517294564604
cof-1_z41_L010_serr,4.1,1.0,-21.88707899851851
cof-1_z41_L020_serr,4.1,2.0,-21.867136908062676
cof-1_z41_L030_serr,4.1,3.0,-21.855482203144845
cof-1_z41_L040_serr,4.1,4.0,-21.84111853669507
cof-1_z41_L050_serr,4.1,5.0,-21.82396377486233
cof-1_z41_L060_serr,4.1,6.0,-21.818727397434433
cof-1_z41_L070_serr,4.1,7.0,-21.816387205557657
cof-1_z41_L080_serr,4.1,8.0,-21.814512680448242
cof-1_z41_L087_serr,4.1,8.7,-21.815874394849182
cof-1_z42_L000_serr,4.2,0.0,-21.882718841773517
cof-1_z42_L010_serr,4.2,1.0,-21.875140491386247
cof-1_z42_L020_serr,4.2,2.0,-21.85530720653231
cof-1_z42_L030_serr,4.2,3.0,-21.840037550709337
cof-1_z42_L040_serr,4.2,4.0,-21.825965839060103
cof-1_z42_L050_serr,4.2,5.0,-21.810471728582208
cof-1_z42_L060_serr,4.2,6.0,-21.806913465800697
cof-1_z42_L070_serr,4.2,7.0,-21.804899144907523
cof-1_z42_L080_serr,4.2,8.0,-21.803156654207157
cof-1_z42_L087_serr,4.2,8.7,-21.80384818434438
cof-1_z43_L000_serr,4.3,0.0,-21.866979164255
cof-1_z43_L010_serr,4.3,1.0,-21.861541928991663
cof-1_z43_L020_serr,4.3,2.0,-21.842316905969106
cof-1_z43_L030_serr,4.3,3.0,-21.82469891083323
cof-1_z43_L040_serr,4.3,4.0,-21.810716306588628
cof-1_z43_L050_serr,4.3,5.0,-21.796871680854803
cof-1_z43_L060_serr,4.3,6.0,-21.79457597745232
cof-1_z43_L070_serr,4.3,7.0,-21.79303363994528
cof-1_z43_L080_serr,4.3,8.0,-21.791415886258612
cof-1_z43_L087_serr,4.3,8.7,-21.791046266424924
cof-1_z44_L000_serr,4.4,0.0,-21.849901258433363
cof-1_z44_L010_serr,4.4,1.0,-21.846697406562143
cof-1_z44_L020_serr,4.4,2.0,-21.82831341888585
cof-1_z44_L030_serr,4.4,3.0,-21.810228567154002
cof-1_z44_L040_serr,4.4,4.0,-21.79603481813269
cof-1_z44_L050_serr,4.4,5.0,-21.783833937308945
cof-1_z44_L060_serr,4.4,6.0,-21.782132297473623
cof-1_z44_L070_serr,4.4,7.0,-21.781128095981554
cof-1_z44_L080_serr,4.4,8.0,-21.779690061724164
cof-1_z44_L087_serr,4.4,8.7,-21.778534403962265
cof-1_z45_L000_serr,4.5,0.0,-21.832620995565687
cof-1_z45_L010_serr,4.5,1.0,-21.83049366431407
cof-1_z45_L020_serr,4.5,2.0,-21.81369811258603
cof-1_z45_L030_serr,4.5,3.0,-21.79685903583538
cof-1_z45_L040_serr,4.5,4.0,-21.782293774277964
cof-1_z45_L050_serr,4.5,5.0,-21.771786553457662
cof-1_z45_L060_serr,4.5,6.0,-21.770020549509358
cof-1_z45_L070_serr,4.5,7.0,-21.769538833852025
cof-1_z45_L080_serr,4.5,8.0,-21.768279284572305
cof-1_z45_L087_serr,4.5,8.7,-21.767181227891193
