structure,z,L,energy_eV,energy_rel_eV
cof-1_z37_L087_incl,3.7,8.7,-31216.769623845772,0.39604948136911844
cof-1_z38_L000_incl,3.8,0.0,-31216.934441215355,0.23123211178608472
cof-1_z38_L010_incl,3.8,1.0,-31216.966228254696,0.19944507244508713
cof-1_z38_L020_incl,3.8,2.0,-31216.980990006523,0.18468332061820547
cof-1_z38_L030_incl,3.8,3.0,-31216.9554579012,0.2102154259409872
cof-1_z38_L040_incl,3.8,4.0,-31216.92971689031,0.2359564368307474
cof-1_z38_L050_incl,3.8,5.0,-31216.890640686393,0.27503264074766776
cof-1_z38_L060_incl,3.8,6.0,-31216.832965778543,0.33270754859768203
cof-1_z38_L070_incl,3.8,7.0,-31216.770268359043,0.3954049680978642
cof-1_z38_L080_incl,3.8,8.0,-31216.742678225863,0.42299510127850226
cof-1_z38_L087_incl,3.8,8.7,-31216.739471401215,0.42620192592585227
cof-1_z39_L000_incl,3.9,0.0,-31216.89203149433,0.2736418328095169
cof-1_z39_L010_incl,3.9,1.0,-31216.914982961305,0.25069036583590787
cof-1_z39_L020_incl,3.9,2.0,-31216.923223784353,0.24244954278765363
cof-1_z39_L030_incl,3.9,3.0,-31216.897668620237,0.2680047069043212
cof-1_z39_L040_incl,3.9,4.0,-31216.875832431873,0.28984089526784373
cof-1_z39_L050_incl,3.9,5.0,-31216.838937366792,0.3267359603487421
cof-1_z39_L060_incl,3.9,6.0,-31216.783303464723,0.38236986241827253
cof-1_z39_L070_incl,3.9,7.0,-31216.731692290596,0.43398103654544684
cof-1_z39_L080_incl,3.9,8.0,-31216.711999882376,0.4536734447647177
cof-1_z39_L087_incl,3.9,8.7,-31216.71082392396,0.45484940318056033
cof-1_z40_L000_incl,4.0,0.0,-31216.8460668922,0.31960643493948737
cof-1_z40_L010_incl,4.0,1.0,-31216.863597534964,0.3020757921767654
cof-1_z40_L020_incl,4.0,2.0,-31216.867840469768,0.297832857373578
cof-1_z40_L030_incl,4.0,3.0,-31216.84316140733,0.3225119198104949
cof-1_z40_L040_incl,4.0,4.0,-31216.82472619865,0.34094712849037023
cof-1_z40_L050_incl,4.0,5.0,-31216.789987475375,0.3756858517663204
cof-1_z40_L060_incl,4.0,6.0,-31216.737510516403,0.42816281073828577
cof-1_z40_L070_incl,4.0,7.0,-31216.69540589955,0.4702674275904428
cof-1_z40_L080_incl,4.0,8.0,-31216.682547253637,0.4831260735045362
cof-1_z40_L087_incl,4.0,8.7,-31216.683264335228,0.48240899191296194
