structure,rank,two_theta_deg,relative_intensity
cof-1_z33_L020_serr,1,6.79252,100.0
cof-1_z33_L020_serr,2,6.78083,40.468
cof-1_z33_L020_serr,3,26.59975,15.433
cof-1_z33_L020_serr,4,13.60906,5.721
cof-1_z33_L020_serr,5,11.76528,2.434
cof-1_z33_L020_serr,6,11.78561,2.304
cof-1_z33_L020_serr,7,14.86254,2.185
cof-1_z33_L020_serr,8,14.86248,2.179
cof-1_z33_L020_serr,9,27.48433,1.582
cof-1_z33_L020_serr,10,27.48429,1.582
