structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
PDI-BT-COF-diff_z40_L000_incl,incl,-155810.217490048,0.0935666138830129,False
PDI-BT-COF-diff_z40_L000_serr,serr,-155810.31105666189,0.0,False
