Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,cof-1_z30_L087_incl.cif,2.4134721559880434,8.602783181637456,-35077.564800203676,0.20174257813050644
incl,cof-1_z33_L020_incl.cif,3.2357067160406427,1.92290170216544,-35077.76654278181,0.0
incl,cof-1_z36_L000_incl.cif,3.2288459775021914,1.894133750027047,-35077.333772777936,0.432770003870246
serr,cof-1_z30_L087_serr.cif,2.9987453384734373,8.695793151499743,-35077.58357347511,0.1829693066974869
serr,cof-1_z33_L020_serr.cif,3.294750077675583,1.7896164059128568,-35077.756748364416,0.009794417390367016
serr,cof-1_z36_L000_serr.cif,3.2324486305463744,1.5246216424395296,-35077.33375523748,0.43278754432685673
