structure,rank,two_theta_deg,relative_intensity
PBI-COF_z33_L020_incl,1,4.98494,100.0
PBI-COF_z33_L020_incl,2,5.05047,98.225
PBI-COF_z33_L020_incl,3,5.65903,92.444
PBI-COF_z33_L020_incl,4,27.03984,11.784
PBI-COF_z33_L020_incl,5,11.33191,11.722
PBI-COF_z33_L020_incl,6,9.97934,11.458
PBI-COF_z33_L020_incl,7,10.11079,11.409
PBI-COF_z33_L020_incl,8,8.29282,7.962
PBI-COF_z33_L020_incl,9,9.40065,4.957
PBI-COF_z33_L020_incl,10,9.50536,4.848
PBI-COF_z33_L020_incl,11,26.15041,3.578
PBI-COF_z33_L020_incl,12,12.8114,3.1939999999999995
PBI-COF_z33_L020_incl,13,12.73362,3.102
PBI-COF_z33_L020_incl,14,25.95288,2.634
PBI-COF_z33_L020_incl,15,30.37449,2.526
PBI-COF_z33_L020_incl,16,13.96355,2.111
PBI-COF_z33_L020_incl,17,26.23029,2.051
PBI-COF_z33_L020_incl,18,14.15234,1.9980000000000002
PBI-COF_z33_L020_incl,19,14.83314,1.849
PBI-COF_z33_L020_incl,20,14.72077,1.839
PBI-COF_z33_L020_incl,21,24.64691,1.453
PBI-COF_z33_L020_incl,22,25.86126,1.135
PBI-COF_z33_L020_incl,23,23.45801,1.061
