structure,z,L,energy_eV,energy_rel_eV
cof-1_z37_L087_incl,3.7,8.7,-35222.89653124433,0.4621297136618523
cof-1_z38_L000_incl,3.8,0.0,-35223.12936789184,0.22929306615696987
cof-1_z38_L010_incl,3.8,1.0,-35223.157936257245,0.20072470074956072
cof-1_z38_L020_incl,3.8,2.0,-35223.15716485048,0.20149610751104774
cof-1_z38_L030_incl,3.8,3.0,-35223.10961778582,0.2490431721744244
cof-1_z38_L040_incl,3.8,4.0,-35223.06375772087,0.29490323712525424
cof-1_z38_L050_incl,3.8,5.0,-35223.01585009258,0.3428108654115931
cof-1_z38_L060_incl,3.8,6.0,-35222.951414518815,0.40724643917928915
cof-1_z38_L070_incl,3.8,7.0,-35222.88751040478,0.4711505532177398
cof-1_z38_L080_incl,3.8,8.0,-35222.86253101292,0.49612994507333497
cof-1_z38_L087_incl,3.8,8.7,-35222.8607054919,0.4979554660967551
cof-1_z39_L000_incl,3.9,0.0,-35223.07882638861,0.27983456938090967
cof-1_z39_L010_incl,3.9,1.0,-35223.09756622512,0.26109473287215224
cof-1_z39_L020_incl,3.9,2.0,-35223.090710493256,0.2679504647385329
cof-1_z39_L030_incl,3.9,3.0,-35223.044721597704,0.31393936029053293
cof-1_z39_L040_incl,3.9,4.0,-35223.003972938175,0.3546880198191502
cof-1_z39_L050_incl,3.9,5.0,-35222.958890531474,0.39977042652026284
cof-1_z39_L060_incl,3.9,6.0,-35222.89688548056,0.46177547743718605
cof-1_z39_L070_incl,3.9,7.0,-35222.843671513154,0.5149894448404666
cof-1_z39_L080_incl,3.9,8.0,-35222.82617950247,0.5324814555278863
cof-1_z39_L087_incl,3.9,8.7,-35222.82608497883,0.5325759791667224
cof-1_z40_L000_incl,4.0,0.0,-35223.023882955466,0.3347780025287648
cof-1_z40_L010_incl,4.0,1.0,-35223.036345326625,0.3223156313688378
cof-1_z40_L020_incl,4.0,2.0,-35223.026031035275,0.33262992271920666
cof-1_z40_L030_incl,4.0,3.0,-35222.982452078526,0.37620887946832227
cof-1_z40_L040_incl,4.0,4.0,-35222.9466019165,0.4120590414968319
cof-1_z40_L050_incl,4.0,5.0,-35222.90419466737,0.45446629062644206
cof-1_z40_L060_incl,4.0,6.0,-35222.84590449832,0.5127564596768934
cof-1_z40_L070_incl,4.0,7.0,-35222.80190406001,0.5567568979822681
cof-1_z40_L080_incl,4.0,8.0,-35222.79084631223,0.5678146457648836
cof-1_z40_L087_incl,4.0,8.7,-35222.79234936312,0.5663115948773338
cof-1_z41_L000_incl,4.1,0.0,-35222.968471205044,0.39018975295039127
cof-1_z41_L010_incl,4.1,1.0,-35222.976750828384,0.38191012961033266
cof-1_z41_L020_incl,4.1,2.0,-35222.96471471705,0.39394624094711617
cof-1_z41_L030_incl,4.1,3.0,-35222.92412410192,0.43453685607528314
cof-1_z41_L040_incl,4.1,4.0,-35222.892323239954,0.46633771804044954
cof-1_z41_L050_incl,4.1,5.0,-35222.85246099911,0.5061999588870094
cof-1_z41_L060_incl,4.1,6.0,-35222.79896394805,0.5596970099431928
cof-1_z41_L070_incl,4.1,7.0,-35222.76261236301,0.5960485949835856
cof-1_z41_L080_incl,4.1,8.0,-35222.756390394476,0.6022705635186867
cof-1_z41_L087_incl,4.1,8.7,-35222.75910716427,0.5995537937269546
cof-1_z42_L000_incl,4.2,0.0,-35222.914760019754,0.4439009382404038
cof-1_z42_L010_incl,4.2,1.0,-35222.91998857772,0.43867238027451094
cof-1_z42_L020_incl,4.2,2.0,-35222.907385432525,0.4512755254691001
cof-1_z42_L030_incl,4.2,3.0,-35222.870211658825,0.4884492991695879
cof-1_z42_L040_incl,4.2,4.0,-35222.841382484534,0.5172784734604647
cof-1_z42_L050_incl,4.2,5.0,-35222.80402420178,0.554636756212858
cof-1_z42_L060_incl,4.2,6.0,-35222.75608853859,0.6025724194041686
cof-1_z42_L070_incl,4.2,7.0,-35222.7258395206,0.6328214373934316
cof-1_z42_L080_incl,4.2,8.0,-35222.722688911446,0.6359720465479768
cof-1_z42_L087_incl,4.2,8.7,-35222.726018569556,0.6326423884383985
cof-1_z43_L000_incl,4.3,0.0,-35222.86364815053,0.49501280746335397
cof-1_z43_L010_incl,4.3,1.0,-35222.866383203305,0.4922777546889847
cof-1_z43_L020_incl,4.3,2.0,-35222.853991251664,0.504669706329878
cof-1_z43_L030_incl,4.3,3.0,-35222.82055211047,0.5381088475260185
cof-1_z43_L040_incl,4.3,4.0,-35222.79366884186,0.5649921161311795
cof-1_z43_L050_incl,4.3,5.0,-35222.75891530613,0.5997456518671243
cof-1_z43_L060_incl,4.3,6.0,-35222.716963905754,0.6416970522404881
cof-1_z43_L070_incl,4.3,7.0,-35222.69141558266,0.6672453753344598
cof-1_z43_L080_incl,4.3,8.0,-35222.689708663806,0.6689522941887844
cof-1_z43_L087_incl,4.3,8.7,-35222.692995060395,0.6656658975989558
cof-1_z44_L000_incl,4.4,0.0,-35222.815235754846,0.5434252031482174
cof-1_z44_L010_incl,4.4,1.0,-35222.815766339736,0.5428946182582877
cof-1_z44_L020_incl,4.4,2.0,-35222.80409666972,0.5545642882716493
cof-1_z44_L030_incl,4.4,3.0,-35222.77458288834,0.5840780696526053
cof-1_z44_L040_incl,4.4,4.0,-35222.74883697691,0.6098239810817176
cof-1_z44_L050_incl,4.4,5.0,-35222.71693216427,0.6417287937219953
cof-1_z44_L060_incl,4.4,6.0,-35222.68106208882,0.6775988691733801
cof-1_z44_L070_incl,4.4,7.0,-35222.65908993525,0.6995710227420204
cof-1_z44_L080_incl,4.4,8.0,-35222.65752185808,0.701139099917782
cof-1_z44_L087_incl,4.4,8.7,-35222.660253322,0.698407635994954
cof-1_z45_L000_incl,4.5,0.0,-35222.7691917566,0.5894692013971508
cof-1_z45_L010_incl,4.5,1.0,-35222.76781362149,0.5908473365052487
cof-1_z45_L020_incl,4.5,2.0,-35222.757156758154,0.6015041998398374
cof-1_z45_L030_incl,4.5,3.0,-35222.73157285158,0.6270881064119749
cof-1_z45_L040_incl,4.5,4.0,-35222.70651523521,0.6521457227863721
cof-1_z45_L050_incl,4.5,5.0,-35222.67778139179,0.6808795662072953
cof-1_z45_L060_incl,4.5,6.0,-35222.64780963702,0.7108513209750527
cof-1_z45_L070_incl,4.5,7.0,-35222.62865045971,0.7300104982859921
cof-1_z45_L080_incl,4.5,8.0,-35222.626322241435,0.7323387165597524
cof-1_z45_L087_incl,4.5,8.7,-35222.628165011854,0.7304959461398539
