Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,cof-1_z33_L020_incl.cif,3.2357067160406427,1.92290170216544,-35077.76654278181,0.0
serr,cof-1_z33_L020_serr.cif,3.294750077675583,1.7896164059128568,-35077.756748364416,0.009794417390367016
