Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,cof-1_z30_L087_incl.cif,2.864686963441875,8.653264173764484,-325.5990732621426,0.23136227077077365
incl,cof-1_z33_L020_incl.cif,3.222218618303686,1.9841434897391976,-325.8304355329134,0.0
incl,cof-1_z36_L000_incl.cif,3.474384955005778,0.00035257659503923035,-325.539012467616,0.29142306529740836
serr,cof-1_z30_L087_serr.cif,2.999318999484697,8.684387979622015,-325.588706889882,0.2417286430313652
serr,cof-1_z33_L020_serr.cif,3.2711623107519663,1.9908698535210123,-325.81978194084604,0.010653592067342288
serr,cof-1_z36_L000_serr.cif,3.4845552324524576,3.736882482835296e-08,-325.5363499031705,0.2940856297428809
