structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
PDI-BT-COF-same_z39_L000_incl,incl,-155808.92616612883,0.0,False
PDI-BT-COF-same_z39_L000_serr,serr,-155808.91345980286,0.012706325971521437,False
