structure,rank,two_theta_deg,relative_intensity
cof-1_z33_L030_incl,1,7.50306,100.0
cof-1_z33_L030_incl,2,7.50312,99.992
cof-1_z33_L030_incl,3,9.33502,71.693
cof-1_z33_L030_incl,4,27.77752,31.873
cof-1_z33_L030_incl,5,25.45347,8.764
cof-1_z33_L030_incl,6,25.45267,8.754
cof-1_z33_L030_incl,7,15.03865,6.062
cof-1_z33_L030_incl,8,15.03854,6.06
cof-1_z33_L030_incl,9,22.33278,5.799
cof-1_z33_L030_incl,10,11.76433,5.71
