structure,z,L,energy_Eh
boronate_ester_2-Benzene_z37_inc_L087,3.7,8.7,-11.030215494349354
boronate_ester_2-Benzene_z38_inc_L000,3.8,0.0,-11.055566222633562
boronate_ester_2-Benzene_z38_inc_L010,3.8,1.0,-11.055596556524785
boronate_ester_2-Benzene_z38_inc_L020,3.8,2.0,-11.050093840047754
boronate_ester_2-Benzene_z38_inc_L030,3.8,3.0,-11.043681171573855
boronate_ester_2-Benzene_z38_inc_L040,3.8,4.0,-11.032288709703453
boronate_ester_2-Benzene_z38_inc_L050,3.8,5.0,-11.02145356651104
boronate_ester_2-Benzene_z38_inc_L060,3.8,6.0,-11.019194422162874
boronate_ester_2-Benzene_z38_inc_L070,3.8,7.0,-11.019598819787761
boronate_ester_2-Benzene_z38_inc_L080,3.8,8.0,-11.01991213710185
boronate_ester_2-Benzene_z38_inc_L087,3.8,8.7,-11.021402900720839
boronate_ester_2-Benzene_z39_inc_L000,3.9,0.0,-11.051298884681458
boronate_ester_2-Benzene_z39_inc_L010,3.9,1.0,-11.05023970010232
boronate_ester_2-Benzene_z39_inc_L020,3.9,2.0,-11.042379874533037
boronate_ester_2-Benzene_z39_inc_L030,3.9,3.0,-11.03484687773292
boronate_ester_2-Benzene_z39_inc_L040,3.9,4.0,-11.023993000665666
boronate_ester_2-Benzene_z39_inc_L050,3.9,5.0,-11.01359186105938
boronate_ester_2-Benzene_z39_inc_L060,3.9,6.0,-11.011856594512956
boronate_ester_2-Benzene_z39_inc_L070,3.9,7.0,-11.01248414458826
boronate_ester_2-Benzene_z39_inc_L080,3.9,8.0,-11.012034175199345
boronate_ester_2-Benzene_z39_inc_L087,3.9,8.7,-11.012512864905608
boronate_ester_2-Benzene_z40_inc_L000,4.0,0.0,-11.045994426445052
boronate_ester_2-Benzene_z40_inc_L010,4.0,1.0,-11.04355485037513
boronate_ester_2-Benzene_z40_inc_L020,4.0,2.0,-11.033883272717217
boronate_ester_2-Benzene_z40_inc_L030,4.0,3.0,-11.025209801607666
boronate_ester_2-Benzene_z40_inc_L040,4.0,4.0,-11.015111193812716
boronate_ester_2-Benzene_z40_inc_L050,4.0,5.0,-11.005500249641399
boronate_ester_2-Benzene_z40_inc_L060,4.0,6.0,-11.004238320932055
