structure,z,L,energy_eV,energy_rel_eV
ILCOF-1_z33_L170_incl,3.3,17.0,-703.7399293185264,2.200417446275196
ILCOF-1_z33_L171_incl,3.3,17.1,-703.7387027852628,2.201643979538744
ILCOF-1_z34_L000_incl,3.4,0.0,-705.784688908073,0.1556578567285669
ILCOF-1_z34_L010_incl,3.4,1.0,-705.9403467648016,0.0
ILCOF-1_z34_L020_incl,3.4,2.0,-705.6514420938269,0.2889046709747163
ILCOF-1_z34_L030_incl,3.4,3.0,-705.0615866891269,0.878760075674677
ILCOF-1_z34_L040_incl,3.4,4.0,-704.1557805506558,1.7845662141457979
ILCOF-1_z34_L050_incl,3.4,5.0,-703.4187668295283,2.52157993527328
ILCOF-1_z34_L060_incl,3.4,6.0,-703.5014145945787,2.43893217022287
ILCOF-1_z34_L070_incl,3.4,7.0,-703.7477939262546,2.1925528385469306
ILCOF-1_z34_L080_incl,3.4,8.0,-703.9228262452561,2.017520519545428
ILCOF-1_z34_L090_incl,3.4,9.0,-703.9021449772222,2.0382017875793963
ILCOF-1_z34_L100_incl,3.4,10.0,-703.8960636989065,2.044283065895115
ILCOF-1_z34_L110_incl,3.4,11.0,-703.8432391768742,2.0971075879273258
ILCOF-1_z34_L120_incl,3.4,12.0,-703.7864465000722,2.153900264729373
ILCOF-1_z34_L130_incl,3.4,13.0,-703.810629317341,2.129717447460621
ILCOF-1_z34_L140_incl,3.4,14.0,-703.8213496812288,2.118997083572822
ILCOF-1_z34_L150_incl,3.4,15.0,-703.7590340238361,2.1813127409654953
ILCOF-1_z34_L160_incl,3.4,16.0,-703.74271631028,2.1976304545215726
ILCOF-1_z34_L170_incl,3.4,17.0,-703.7132884425297,2.227058322271887
ILCOF-1_z34_L171_incl,3.4,17.1,-703.7122546474767,2.228092117324877
ILCOF-1_z35_L000_incl,3.5,0.0,-705.7755461312905,0.16480063351104945
ILCOF-1_z35_L010_incl,3.5,1.0,-705.8455909424831,0.09475582231846147
ILCOF-1_z35_L020_incl,3.5,2.0,-705.6116789976702,0.32866776713137824
ILCOF-1_z35_L030_incl,3.5,3.0,-705.1353560564843,0.8049907083172911
ILCOF-1_z35_L040_incl,3.5,4.0,-704.3680795632584,1.5722672015431272
ILCOF-1_z35_L050_incl,3.5,5.0,-703.7500763428429,2.190270421958644
ILCOF-1_z35_L060_incl,3.5,6.0,-703.7628926711928,2.1774540936087305
ILCOF-1_z35_L070_incl,3.5,7.0,-703.8901925700678,2.05015419473375
ILCOF-1_z35_L080_incl,3.5,8.0,-703.9648019333458,1.9755448314557498
