Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,cof-1_z30_L087_incl.cif,3.0015847309098853,8.684898799490275,-35223.12142532264,0.26122885166842025
incl,cof-1_z33_L020_incl.cif,3.3031828126016594,1.9996569748944968,-35223.38265417431,0.0
incl,cof-1_z36_L000_incl.cif,3.5991925067644894,6.562608539027295e-05,-35223.19495402834,0.1877001459724852
serr,cof-1_z30_L087_serr.cif,3.0021458689129648,8.684699068818162,-35223.073768853996,0.30888532031531213
serr,cof-1_z33_L020_serr.cif,3.3017488518622677,2.0024809864714954,-35223.37424446338,0.008409710928390268
serr,cof-1_z36_L000_serr.cif,3.5996316777245667,3.1379361424505645e-11,-35223.194895223634,0.1877589506766526
