structure,z,L,energy_Eh
boronate_ester_2-Benzene_z37_inc_L087,3.7,8.7,-11.0300025467772
boronate_ester_2-Benzene_z38_inc_L000,3.8,0.0,-11.055311883116762
boronate_ester_2-Benzene_z38_inc_L010,3.8,1.0,-11.055218964068802
boronate_ester_2-Benzene_z38_inc_L020,3.8,2.0,-11.049556184834481
boronate_ester_2-Benzene_z38_inc_L030,3.8,3.0,-11.043126994498023
boronate_ester_2-Benzene_z38_inc_L040,3.8,4.0,-11.031841321364022
boronate_ester_2-Benzene_z38_inc_L050,3.8,5.0,-11.021269919277998
boronate_ester_2-Benzene_z38_inc_L060,3.8,6.0,-11.019091714321938
boronate_ester_2-Benzene_z38_inc_L070,3.8,7.0,-11.019339158882115
boronate_ester_2-Benzene_z38_inc_L080,3.8,8.0,-11.019655915716232
boronate_ester_2-Benzene_z38_inc_L087,3.8,8.7,-11.021211449840704
boronate_ester_2-Benzene_z39_inc_L000,3.9,0.0,-11.051050970940182
boronate_ester_2-Benzene_z39_inc_L010,3.9,1.0,-11.049836202133264
boronate_ester_2-Benzene_z39_inc_L020,3.9,2.0,-11.041863209186339
boronate_ester_2-Benzene_z39_inc_L030,3.9,3.0,-11.034325340308822
boronate_ester_2-Benzene_z39_inc_L040,3.9,4.0,-11.023565142390614
boronate_ester_2-Benzene_z39_inc_L050,3.9,5.0,-11.013404777466285
boronate_ester_2-Benzene_z39_inc_L060,3.9,6.0,-11.011769832712375
boronate_ester_2-Benzene_z39_inc_L070,3.9,7.0,-11.01225616246939
boronate_ester_2-Benzene_z39_inc_L080,3.9,8.0,-11.0118068559029
boronate_ester_2-Benzene_z39_inc_L087,3.9,8.7,-11.01235213114298
boronate_ester_2-Benzene_z40_inc_L000,4.0,0.0,-11.045747920581437
boronate_ester_2-Benzene_z40_inc_L010,4.0,1.0,-11.043120293617598
boronate_ester_2-Benzene_z40_inc_L020,4.0,2.0,-11.033376564867964
boronate_ester_2-Benzene_z40_inc_L030,4.0,3.0,-11.024717579596029
boronate_ester_2-Benzene_z40_inc_L040,4.0,4.0,-11.01472401690347
boronate_ester_2-Benzene_z40_inc_L050,4.0,5.0,-11.005311992742259
boronate_ester_2-Benzene_z40_inc_L060,4.0,6.0,-11.004154417312328
boronate_ester_2-Benzene_z40_inc_L070,4.0,7.0,-11.004785004835286
boronate_ester_2-Benzene_z40_inc_L080,4.0,8.0,-11.003974899177878
boronate_ester_2-Benzene_z40_inc_L087,4.0,8.7,-11.003853770288995
boronate_ester_2-Benzene_z41_inc_L000,4.1,0.0,-11.038973331240673
boronate_ester_2-Benzene_z41_inc_L010,4.1,1.0,-11.035207167478065
boronate_ester_2-Benzene_z41_inc_L020,4.1,2.0,-11.024468751627618
boronate_ester_2-Benzene_z41_inc_L030,4.1,3.0,-11.014715631719868
boronate_ester_2-Benzene_z41_inc_L040,4.1,4.0,-11.005464640697362
boronate_ester_2-Benzene_z41_inc_L050,4.1,5.0,-10.996999155702484
boronate_ester_2-Benzene_z41_inc_L060,4.1,6.0,-10.99641106059196
boronate_ester_2-Benzene_z41_inc_L070,4.1,7.0,-10.997028939238362
boronate_ester_2-Benzene_z41_inc_L080,4.1,8.0,-10.995998341605393
boronate_ester_2-Benzene_z41_inc_L087,4.1,8.7,-10.995642419622156
boronate_ester_2-Benzene_z42_inc_L000,4.2,0.0,-11.030366310512903
boronate_ester_2-Benzene_z42_inc_L010,4.2,1.0,-11.026407744544054
boronate_ester_2-Benzene_z42_inc_L020,4.2,2.0,-11.015387376033797
boronate_ester_2-Benzene_z42_inc_L030,4.2,3.0,-11.004757854397344
boronate_ester_2-Benzene_z42_inc_L040,4.2,4.0,-10.996151936275261
boronate_ester_2-Benzene_z42_inc_L050,4.2,5.0,-10.98865498197559
boronate_ester_2-Benzene_z42_inc_L060,4.2,6.0,-10.98864088198542
boronate_ester_2-Benzene_z42_inc_L070,4.2,7.0,-10.989130579717434
boronate_ester_2-Benzene_z42_inc_L080,4.2,8.0,-10.987833863477913
boronate_ester_2-Benzene_z42_inc_L087,4.2,8.7,-10.987280948098745
boronate_ester_2-Benzene_z43_inc_L000,4.3,0.0,-11.02034675466755
boronate_ester_2-Benzene_z43_inc_L010,4.3,1.0,-11.017115244818347
boronate_ester_2-Benzene_z43_inc_L020,4.3,2.0,-11.006264010565978
boronate_ester_2-Benzene_z43_inc_L030,4.3,3.0,-10.995293970967042
boronate_ester_2-Benzene_z43_inc_L040,4.3,4.0,-10.987211297889226
boronate_ester_2-Benzene_z43_inc_L050,4.3,5.0,-10.980581503169622
boronate_ester_2-Benzene_z43_inc_L060,4.3,6.0,-10.980913573006546
boronate_ester_2-Benzene_z43_inc_L070,4.3,7.0,-10.981209617334391
boronate_ester_2-Benzene_z43_inc_L080,4.3,8.0,-10.979634024056827
boronate_ester_2-Benzene_z43_inc_L087,4.3,8.7,-10.97875466349122
boronate_ester_2-Benzene_z44_inc_L000,4.4,0.0,-11.009872015872851
boronate_ester_2-Benzene_z44_inc_L010,4.4,1.0,-11.007519857059243
boronate_ester_2-Benzene_z44_inc_L020,4.4,2.0,-10.997255387427838
boronate_ester_2-Benzene_z44_inc_L030,4.4,3.0,-10.986645232490119
boronate_ester_2-Benzene_z44_inc_L040,4.4,4.0,-10.978902783908564
boronate_ester_2-Benzene_z44_inc_L050,4.4,5.0,-10.973028411636305
boronate_ester_2-Benzene_z44_inc_L060,4.4,6.0,-10.973366201536875
boronate_ester_2-Benzene_z44_inc_L070,4.4,7.0,-10.973400527268819
boronate_ester_2-Benzene_z44_inc_L080,4.4,8.0,-10.971642147169947
boronate_ester_2-Benzene_z44_inc_L087,4.4,8.7,-10.970582855909209
boronate_ester_2-Benzene_z45_inc_L000,4.5,0.0,-10.99948491448508
boronate_ester_2-Benzene_z45_inc_L010,4.5,1.0,-10.997553319410686
boronate_ester_2-Benzene_z45_inc_L020,4.5,2.0,-10.988475387427002
boronate_ester_2-Benzene_z45_inc_L030,4.5,3.0,-10.97883993166478
boronate_ester_2-Benzene_z45_inc_L040,4.5,4.0,-10.971272602338976
boronate_ester_2-Benzene_z45_inc_L050,4.5,5.0,-10.96607527220281
boronate_ester_2-Benzene_z45_inc_L060,4.5,6.0,-10.966146043051708
boronate_ester_2-Benzene_z45_inc_L070,4.5,7.0,-10.965874281577717
boronate_ester_2-Benzene_z45_inc_L080,4.5,8.0,-10.964040978065155
boronate_ester_2-Benzene_z45_inc_L087,4.5,8.7,-10.963166274983001
