structure,z,L,energy_eV,energy_rel_eV
PDI-BT-COF-same_z42_L020_incl,4.2,2.0,-155758.10943527555,42.349492326175096
PDI-BT-COF-same_z42_L025_incl,4.2,2.5,-155756.71261083378,43.74631676793797
PDI-BT-COF-same_z42_L030_incl,4.2,3.0,-155756.1255320534,44.333395548310364
PDI-BT-COF-same_z42_L035_incl,4.2,3.5,-155755.5626106002,44.89631700151949
PDI-BT-COF-same_z42_L040_incl,4.2,4.0,-155755.2551169512,45.20381065053516
PDI-BT-COF-same_z42_L045_incl,4.2,4.5,-155755.0255373266,45.43339027510956
PDI-BT-COF-same_z42_L050_incl,4.2,5.0,-155754.76236876135,45.69655884036911
PDI-BT-COF-same_z42_L055_incl,4.2,5.5,-155754.3216766116,46.13725099011208
PDI-BT-COF-same_z42_L060_incl,4.2,6.0,-155753.58877250314,46.87015509858611
PDI-BT-COF-same_z43_L000_incl,4.3,0.0,-155799.14196785938,1.3169597423402593
PDI-BT-COF-same_z43_L005_incl,4.3,0.5,-155792.35962390018,8.09930370154325
PDI-BT-COF-same_z43_L010_incl,4.3,1.0,-155779.63829692377,20.82063067794661
PDI-BT-COF-same_z43_L015_incl,4.3,1.5,-155767.5311099943,32.92781760741491
PDI-BT-COF-same_z43_L020_incl,4.3,2.0,-155761.9363055275,38.52262207423337
PDI-BT-COF-same_z43_L025_incl,4.3,2.5,-155760.61239123167,39.84653637005249
PDI-BT-COF-same_z43_L030_incl,4.3,3.0,-155759.91480013455,40.54412746717571
PDI-BT-COF-same_z43_L035_incl,4.3,3.5,-155759.22920863732,41.2297189644014
PDI-BT-COF-same_z43_L040_incl,4.3,4.0,-155758.9077423684,41.551185233314754
PDI-BT-COF-same_z43_L045_incl,4.3,4.5,-155758.7098526048,41.749074996914715
PDI-BT-COF-same_z43_L050_incl,4.3,5.0,-155758.51024940528,41.94867819643696
PDI-BT-COF-same_z43_L055_incl,4.3,5.5,-155758.20829247037,42.250635131349554
PDI-BT-COF-same_z43_L060_incl,4.3,6.0,-155757.72186402217,42.73706357955234
PDI-BT-COF-same_z44_L000_incl,4.4,0.0,-155798.88590628954,1.5730213121860288
PDI-BT-COF-same_z44_L005_incl,4.4,0.5,-155792.09538095677,8.363546644948656
PDI-BT-COF-same_z44_L010_incl,4.4,1.0,-155779.3915522188,21.06737538293237
PDI-BT-COF-same_z44_L015_incl,4.4,1.5,-155767.28203676353,33.176890838192776
PDI-BT-COF-same_z44_L020_incl,4.4,2.0,-155761.65852978276,38.8003978189663
PDI-BT-COF-same_z44_L025_incl,4.4,2.5,-155760.3046585934,40.15426900831517
PDI-BT-COF-same_z44_L030_incl,4.4,3.0,-155759.6139703977,40.844957204011735
PDI-BT-COF-same_z44_L035_incl,4.4,3.5,-155758.97333597983,41.485591621894855
PDI-BT-COF-same_z44_L040_incl,4.4,4.0,-155758.71196146932,41.74696613239939
PDI-BT-COF-same_z44_L045_incl,4.4,4.5,-155758.57500023604,41.883927365677664
PDI-BT-COF-same_z44_L050_incl,4.4,5.0,-155758.45292281732,42.00600478440174
PDI-BT-COF-same_z44_L055_incl,4.4,5.5,-155758.2690052595,42.18992234222242
PDI-BT-COF-same_z44_L060_incl,4.4,6.0,-155757.96186903503,42.49705856668879
PDI-BT-COF-same_z45_L000_incl,4.5,0.0,-155798.63341301997,1.825514581752941
PDI-BT-COF-same_z45_L005_incl,4.5,0.5,-155793.11982121776,7.339106383966282
PDI-BT-COF-same_z45_L010_incl,4.5,1.0,-155781.99606914635,18.462858455372043
PDI-BT-COF-same_z45_L015_incl,4.5,1.5,-155770.9633226924,29.49560490931617
PDI-BT-COF-same_z45_L020_incl,4.5,2.0,-155765.29374652947,35.1651810722542
PDI-BT-COF-same_z45_L025_incl,4.5,2.5,-155764.08053669237,36.37839090934722
PDI-BT-COF-same_z45_L030_incl,4.5,3.0,-155763.3285565487,37.13037105303374
PDI-BT-COF-same_z45_L035_incl,4.5,3.5,-155762.5694247616,37.88950284011662
PDI-BT-COF-same_z45_L040_incl,4.5,4.0,-155762.26644106023,38.192486541491235
PDI-BT-COF-same_z45_L045_incl,4.5,4.5,-155762.13161191877,38.32731568295276
PDI-BT-COF-same_z45_L050_incl,4.5,5.0,-155762.04861110786,38.41031649385695
PDI-BT-COF-same_z45_L055_incl,4.5,5.5,-155761.94434964476,38.51457795695751
PDI-BT-COF-same_z45_L060_incl,4.5,6.0,-155761.75180951823,38.70711808349006
PDI-BT-COF-same_z46_L000_incl,4.6,0.0,-155798.38660355262,2.0723240491061006
PDI-BT-COF-same_z46_L005_incl,4.6,0.5,-155792.86593617062,7.5929914310981985
PDI-BT-COF-same_z46_L010_incl,4.6,1.0,-155781.74806522415,18.710862377571175
PDI-BT-COF-same_z46_L015_incl,4.6,1.5,-155770.72229566987,29.73663193185348
PDI-BT-COF-same_z46_L020_incl,4.6,2.0,-155765.02248106018,35.436446541541955
PDI-BT-COF-same_z46_L025_incl,4.6,2.5,-155763.77803495145,36.680892650270835
PDI-BT-COF-same_z46_L030_incl,4.6,3.0,-155763.0161322325,37.44279536922113
PDI-BT-COF-same_z46_L035_incl,4.6,3.5,-155762.28229527693,38.176632324786624
PDI-BT-COF-same_z46_L040_incl,4.6,4.0,-155762.00796056242,38.45096703930176
PDI-BT-COF-same_z46_L045_incl,4.6,4.5,-155761.90186540052,38.557062201201916
PDI-BT-COF-same_z46_L050_incl,4.6,5.0,-155761.86401338363,38.59491421809071
PDI-BT-COF-same_z46_L055_incl,4.6,5.5,-155761.82965235604,38.62927524567931
PDI-BT-COF-same_z46_L060_incl,4.6,6.0,-155761.73212443848,38.72680316324113
PDI-BT-COF-same_z47_L000_incl,4.7,0.0,-155798.14751631176,2.3114112899638712
PDI-BT-COF-same_z47_L005_incl,4.7,0.5,-155793.39828596855,7.060641633172054
PDI-BT-COF-same_z47_L010_incl,4.7,1.0,-155783.85336777134,16.605559830379207
PDI-BT-COF-same_z47_L015_incl,4.7,1.5,-155774.93218086238,25.526746739342343
PDI-BT-COF-same_z47_L020_incl,4.7,2.0,-155770.72875285108,29.730174750642618
PDI-BT-COF-same_z47_L025_incl,4.7,2.5,-155769.922465739,30.53646186273545
PDI-BT-COF-same_z47_L030_incl,4.7,3.0,-155769.28932408933,31.169603512389585
PDI-BT-COF-same_z47_L035_incl,4.7,3.5,-155768.6409603991,31.817967202630825
PDI-BT-COF-same_z47_L040_incl,4.7,4.0,-155768.3642087131,32.094718888634816
PDI-BT-COF-same_z47_L045_incl,4.7,4.5,-155768.26466050398,32.19426709774416
PDI-BT-COF-same_z47_L050_incl,4.7,5.0,-155768.24619815455,32.21272944717202
PDI-BT-COF-same_z47_L055_incl,4.7,5.5,-155768.2409074154,32.218020186322974
PDI-BT-COF-same_z47_L060_incl,4.7,6.0,-155768.18922211506,32.269705486658495
PDI-BT-COF-same_z48_L000_incl,4.8,0.0,-155797.91860045318,2.5403271485411096
PDI-BT-COF-same_z48_L005_incl,4.8,0.5,-155793.16235591823,7.296571683487855
PDI-BT-COF-same_z48_L010_incl,4.8,1.0,-155783.6193212767,16.83960632502567
PDI-BT-COF-same_z48_L015_incl,4.8,1.5,-155774.7000134713,25.758914130419726
