structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
PBI-COF_z33_L020_incl,incl,-55548.03200121952,0.7130788971116999,False
PBI-COF_z33_L121_incl,incl,-55548.745080116634,0.0,False
