structure,z,L,energy_Eh
boronate_ester_2-Benzene_z37_ser_L087,3.7,8.7,-22.03779180768671
boronate_ester_2-Benzene_z38_ser_L000,3.8,0.0,-22.111132445255862
boronate_ester_2-Benzene_z38_ser_L010,3.8,1.0,-22.105617852171637
boronate_ester_2-Benzene_z38_ser_L020,3.8,2.0,-22.09001152348375
boronate_ester_2-Benzene_z38_ser_L030,3.8,3.0,-22.083477811884357
boronate_ester_2-Benzene_z38_ser_L040,3.8,4.0,-22.063998653693325
boronate_ester_2-Benzene_z38_ser_L050,3.8,5.0,-22.039884193354347
boronate_ester_2-Benzene_z38_ser_L060,3.8,6.0,-22.026616295140986
boronate_ester_2-Benzene_z38_ser_L070,3.8,7.0,-22.021414236502245
boronate_ester_2-Benzene_z38_ser_L080,3.8,8.0,-22.0194402668976
boronate_ester_2-Benzene_z38_ser_L087,3.8,8.7,-22.02276057062921
boronate_ester_2-Benzene_z39_ser_L000,3.9,0.0,-22.102597769350982
boronate_ester_2-Benzene_z39_ser_L010,3.9,1.0,-22.096025202561624
boronate_ester_2-Benzene_z39_ser_L020,3.9,2.0,-22.076666708482826
boronate_ester_2-Benzene_z39_ser_L030,3.9,3.0,-22.06769860439829
boronate_ester_2-Benzene_z39_ser_L040,3.9,4.0,-22.048259560290614
boronate_ester_2-Benzene_z39_ser_L050,3.9,5.0,-22.024955854006045
boronate_ester_2-Benzene_z39_ser_L060,3.9,6.0,-22.01347995208933
boronate_ester_2-Benzene_z39_ser_L070,3.9,7.0,-22.00860362423201
boronate_ester_2-Benzene_z39_ser_L080,3.9,8.0,-22.005581008950777
boronate_ester_2-Benzene_z39_ser_L087,3.9,8.7,-22.007818618547006
boronate_ester_2-Benzene_z40_ser_L000,4.0,0.0,-22.09198885287687
boronate_ester_2-Benzene_z40_ser_L010,4.0,1.0,-22.083861167412756
boronate_ester_2-Benzene_z40_ser_L020,4.0,2.0,-22.061960025093963
boronate_ester_2-Benzene_z40_ser_L030,4.0,3.0,-22.05005158952994
boronate_ester_2-Benzene_z40_ser_L040,4.0,4.0,-22.03133495581194
boronate_ester_2-Benzene_z40_ser_L050,4.0,5.0,-22.009377814277503
boronate_ester_2-Benzene_z40_ser_L060,4.0,6.0,-21.999736749799087
boronate_ester_2-Benzene_z40_ser_L070,4.0,7.0,-21.995172862720565
boronate_ester_2-Benzene_z40_ser_L080,4.0,8.0,-21.991956107390433
boronate_ester_2-Benzene_z40_ser_L087,4.0,8.7,-21.993449284058954
boronate_ester_2-Benzene_z41_ser_L000,4.1,0.0,-22.078441809782507
boronate_ester_2-Benzene_z41_ser_L010,4.1,1.0,-22.069236186414564
boronate_ester_2-Benzene_z41_ser_L020,4.1,2.0,-22.046441413822183
boronate_ester_2-Benzene_z41_ser_L030,4.1,3.0,-22.0311401749317
boronate_ester_2-Benzene_z41_ser_L040,4.1,4.0,-22.013223933179333
boronate_ester_2-Benzene_z41_ser_L050,4.1,5.0,-21.993058473173914
boronate_ester_2-Benzene_z41_ser_L060,4.1,6.0,-21.985407788464112
boronate_ester_2-Benzene_z41_ser_L070,4.1,7.0,-21.981219055886303
boronate_ester_2-Benzene_z41_ser_L080,4.1,8.0,-21.9782099639111
boronate_ester_2-Benzene_z41_ser_L087,4.1,8.7,-21.979332564627313
boronate_ester_2-Benzene_z42_ser_L000,4.2,0.0,-22.06122003191493
boronate_ester_2-Benzene_z42_ser_L010,4.2,1.0,-22.052658037184518
boronate_ester_2-Benzene_z42_ser_L020,4.2,2.0,-22.030287942312633
boronate_ester_2-Benzene_z42_ser_L030,4.2,3.0,-22.011765154807186
boronate_ester_2-Benzene_z42_ser_L040,4.2,4.0,-21.99450993585702
boronate_ester_2-Benzene_z42_ser_L050,4.2,5.0,-21.97630676594812
boronate_ester_2-Benzene_z42_ser_L060,4.2,6.0,-21.97058980236093
boronate_ester_2-Benzene_z42_ser_L070,4.2,7.0,-21.96691876635108
boronate_ester_2-Benzene_z42_ser_L080,4.2,8.0,-21.964145300779066
boronate_ester_2-Benzene_z42_ser_L087,4.2,8.7,-21.964641671414142
boronate_ester_2-Benzene_z43_ser_L000,4.3,0.0,-22.04115842899788
boronate_ester_2-Benzene_z43_ser_L010,4.3,1.0,-22.034863614904236
boronate_ester_2-Benzene_z43_ser_L020,4.3,2.0,-22.013380237363414
boronate_ester_2-Benzene_z43_ser_L030,4.3,3.0,-21.992867484902888
boronate_ester_2-Benzene_z43_ser_L040,4.3,4.0,-21.97603745770065
boronate_ester_2-Benzene_z43_ser_L050,4.3,5.0,-21.95975533042106
boronate_ester_2-Benzene_z43_ser_L060,4.3,6.0,-21.955520386346148
boronate_ester_2-Benzene_z43_ser_L070,4.3,7.0,-21.952497734430427
boronate_ester_2-Benzene_z43_ser_L080,4.3,8.0,-21.94995071710737
boronate_ester_2-Benzene_z43_ser_L087,4.3,8.7,-21.94940931161421
boronate_ester_2-Benzene_z44_ser_L000,4.4,0.0,-22.02018900913524
boronate_ester_2-Benzene_z44_ser_L010,4.4,1.0,-22.01623065865203
boronate_ester_2-Benzene_z44_ser_L020,4.4,2.0,-21.99583819174749
boronate_ester_2-Benzene_z44_ser_L030,4.4,3.0,-21.975178949170285
boronate_ester_2-Benzene_z44_ser_L040,4.4,4.0,-21.958440458185336
boronate_ester_2-Benzene_z44_ser_L050,4.4,5.0,-21.944051544501722
boronate_ester_2-Benzene_z44_ser_L060,4.4,6.0,-21.94059359905763
boronate_ester_2-Benzene_z44_ser_L070,4.4,7.0,-21.93826437573858
boronate_ester_2-Benzene_z44_ser_L080,4.4,8.0,-21.936010251143877
