z,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,8.7
3.0,395.7390398263972,260.9850063712104,145.01537904273798,65.10384317082159,34.89769359674821,83.8783168225061,105.91501096180153,117.99518062511594,32.59421783547805,1.6399765125201462
3.1,249.07314394577418,155.35577464233324,73.93240577762477,23.091625427483766,12.886598857879614,71.86652023862509,102.40149147715582,116.60017435009226,50.9943160699136,26.698391580912528
3.2,144.61632795866294,84.58584898053692,31.665345386983994,3.1511954876658326,6.572051038196417,71.54741851984508,109.42891025191031,125.7952312313919,75.8565535523793,57.19641589461405
3.3,77.29859556751474,43.348212218451,13.03195488363845,0.0,13.87980048677961,81.15585517781665,124.74901630912443,142.33569658997595,105.15903871465848,90.81164922285113
3.4,38.999801338540834,24.433774540499897,12.22797671170269,9.001682260488396,32.415770339535996,99.50709001249237,146.32951552259817,163.97085810025823,137.67163343097613,125.83308476054448
3.5,21.453599000415917,20.696199440456823,23.760449118879418,26.64607238851202,59.3738410047751,125.38416650534454,172.33355173838197,189.23365565786108,172.65718182162323,161.56631753534427
3.6,18.703223247568786,26.696694244808416,43.424315683915395,50.776715677387955,92.05962638448733,157.11524873442175,201.34281753920328,217.1745087556071,209.42745709911452,198.1905909191721
3.7,27.18819207927939,39.492780796656234,68.83264174827211,80.60588346801765,128.37560203344765,192.68817137942995,232.45141840587465,247.18591723850304,247.0084871136394,236.32801472000463
3.8,43.88379122952564,58.34885257381174,99.20473941328409,116.23922887189184,167.17860389282887,230.42659647685457,265.3149706060348,279.04356544022176,284.323382186378,275.7363404562929
3.9,66.25784201357274,83.55357599554867,134.2094331932693,157.60976507835565,208.4822707541378,269.6071221731181,299.78566065996495,312.6293317364844,320.6787926967937,314.87280511175555
4.0,94.10415853461943,115.47885268218083,172.79385779541022,203.871819067616,252.89611552580277,310.5036121672623,335.8438008142962,347.8526380502097,356.4477214800693,352.52446094435464
4.1,129.6775272145474,153.8390693595503,213.51623099766638,253.45352383732288,300.405209197137,353.31557115503483,373.4475888739232,384.47043658594,392.52185970992605,389.5639790128768
4.2,174.87299359737554,197.31979283683432,255.9051780149136,304.2713892724105,349.49714413307896,397.23643687574565,412.34703165800636,422.0142915875115,429.40530871410834,428.1246276180697
4.3,227.48568121058122,244.0009778073369,300.2618271525715,353.8561242221677,397.97109633074183,440.64609763675776,451.8929950960261,459.86445654258324,466.63001815267387,468.0678676193536
4.4,282.48853429302386,292.88920116255247,346.2757804161573,400.2851046994183,444.1528330574908,481.8680874362029,491.04554860478385,497.20102680242576,503.2163540071432,506.65650198753247
4.5,337.0312046618407,344.3941629266752,393.00638906862315,443.02913701035453,487.14677004029886,519.8625872498349,528.7250219028901,533.1611471283085,538.4609637249597,541.697090524443
