Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,PDI-BT-COF-diff_z40_L000_incl.cif,5.269172383527578,0.3076718773126835,-155810.217490048,0.0935666138830129
serr,PDI-BT-COF-diff_z40_L000_serr.cif,5.032547500720601,1.8573367109117354,-155810.31105666189,0.0
