structure,z,L,energy_eV,energy_rel_eV
ILCOF-1_z33_L160_serr,3.3,16.0,-1407.5471113444116,4.022266538307804
ILCOF-1_z33_L170_serr,3.3,17.0,-1407.4775577342687,4.091820148450779
ILCOF-1_z33_L171_serr,3.3,17.1,-1407.477133808168,4.092244074551445
ILCOF-1_z34_L000_serr,3.4,0.0,-1411.5693778827194,0.0
ILCOF-1_z34_L010_serr,3.4,1.0,-1411.5649639526232,0.004413930096234253
ILCOF-1_z34_L020_serr,3.4,2.0,-1410.756757718997,0.8126201637223858
ILCOF-1_z34_L030_serr,3.4,3.0,-1410.0022848244812,1.5670930582382425
ILCOF-1_z34_L040_serr,3.4,4.0,-1409.4288714280879,2.140506454631577
ILCOF-1_z34_L050_serr,3.4,5.0,-1408.6834381001756,2.885939782543801
ILCOF-1_z34_L060_serr,3.4,6.0,-1408.5328209998606,3.036556882858804
ILCOF-1_z34_L070_serr,3.4,7.0,-1408.3456003968563,3.2237774858631383
ILCOF-1_z34_L080_serr,3.4,8.0,-1408.1200059671235,3.4493719155959752
ILCOF-1_z34_L090_serr,3.4,9.0,-1407.832856402038,3.7365214806814038
ILCOF-1_z34_L100_serr,3.4,10.0,-1407.7544955614364,3.814882321282994
ILCOF-1_z34_L110_serr,3.4,11.0,-1407.7185011697545,3.8508767129649186
ILCOF-1_z34_L120_serr,3.4,12.0,-1407.637389528669,3.931988354050418
ILCOF-1_z34_L130_serr,3.4,13.0,-1407.6424239443352,3.9269539383842584
ILCOF-1_z34_L140_serr,3.4,14.0,-1407.6263249304498,3.9430529522696816
ILCOF-1_z34_L150_serr,3.4,15.0,-1407.501024565832,4.068353316887396
ILCOF-1_z34_L160_serr,3.4,16.0,-1407.4640774155603,4.105300467159168
ILCOF-1_z34_L170_serr,3.4,17.0,-1407.4230326320483,4.146345250671175
ILCOF-1_z34_L171_serr,3.4,17.1,-1407.4227750029027,4.146602879816783
ILCOF-1_z35_L000_serr,3.5,0.0,-1411.5510920844042,0.018285798315218926
ILCOF-1_z35_L010_serr,3.5,1.0,-1411.5180819502323,0.051295932487164464
ILCOF-1_z35_L020_serr,3.5,2.0,-1410.8980785889462,0.6712992937732452
ILCOF-1_z35_L030_serr,3.5,3.0,-1410.2650780122726,1.3042998704468118
ILCOF-1_z35_L040_serr,3.5,4.0,-1409.6606036531093,1.908774229610117
