structure,rank,two_theta_deg,relative_intensity
PBI-COF_z33_L020_incl,1,4.88461,100.0
PBI-COF_z33_L020_incl,2,5.02835,94.281
PBI-COF_z33_L020_incl,3,5.22603,87.939
PBI-COF_z33_L020_incl,4,9.77811,12.793
PBI-COF_z33_L020_incl,5,10.06642,11.746
PBI-COF_z33_L020_incl,6,25.99345,10.913
PBI-COF_z33_L020_incl,7,10.46297,10.449
PBI-COF_z33_L020_incl,8,8.78395,5.959
PBI-COF_z33_L020_incl,9,8.42981,5.937
PBI-COF_z33_L020_incl,10,9.02466,5.779
PBI-COF_z33_L020_incl,11,28.48214,2.746
PBI-COF_z33_L020_incl,12,12.8444,2.692
PBI-COF_z33_L020_incl,13,13.23588,2.445
PBI-COF_z33_L020_incl,14,13.01094,2.412
PBI-COF_z33_L020_incl,15,13.66305,2.381
PBI-COF_z33_L020_incl,16,13.62448,2.377
PBI-COF_z33_L020_incl,17,25.14977,2.281
PBI-COF_z33_L020_incl,18,13.88564,2.246
PBI-COF_z33_L020_incl,19,24.4381,1.633
PBI-COF_z33_L020_incl,20,25.32999,1.484
PBI-COF_z33_L020_incl,21,25.74588,1.218
PBI-COF_z33_L020_incl,22,27.16502,1.086
