structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer
cof-1_z30_L087_incl,incl,-35077.564800203676,0.20174257813050644
cof-1_z33_L020_incl,incl,-35077.76654278181,0.0
cof-1_z36_L000_incl,incl,-35077.333772777936,0.432770003870246
cof-1_z30_L087_serr,serr,-35077.58357347511,0.1829693066974869
cof-1_z33_L020_serr,serr,-35077.756748364416,0.009794417390367016
cof-1_z36_L000_serr,serr,-35077.33375523748,0.43278754432685673
