Stacking,filename,ILD,ILS,energy_eV_per_layer,energy_rel_eV_per_layer
incl,COF-LZU-1_z33_L020_incl.cif,3.2465176702604635,1.856983340927977,-46695.26812717507,0.0
serr,COF-LZU-1_z34_L020_serr.cif,3.360660778963565,1.5146669832379975,-46695.13276078203,0.13536639304220444
