structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer
cof-1_z34_L020_incl,incl,-35223.38888456935,0.0
cof-1_z36_L000_incl,incl,-35223.19495402834,0.19393054101237794
