structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer
cof-1_z33_L020_incl,incl,-35077.76654278181,0.0
cof-1_z33_L020_serr,serr,-35077.756748364416,0.009794417390367016
