structure,mode,z,L,energy_Eh
COF-1_z40_inc_L030,inc,4.0,3.0,-10.934522399315528
COF-1_z40_inc_L040,inc,4.0,4.0,-10.926587885314422
COF-1_z40_inc_L050,inc,4.0,5.0,-10.918652869279063
COF-1_z40_inc_L060,inc,4.0,6.0,-10.918670589842268
COF-1_z40_inc_L070,inc,4.0,7.0,-10.920342939022797
COF-1_z40_inc_L075,inc,4.0,7.5,-10.920512020894934
COF-1_z41_inc_L000,inc,4.1,0.0,-10.947225411769795
COF-1_z41_inc_L010,inc,4.1,1.0,-10.944022267720678
COF-1_z41_inc_L020,inc,4.1,2.0,-10.93470547325492
COF-1_z41_inc_L030,inc,4.1,3.0,-10.926646142972574
COF-1_z41_inc_L040,inc,4.1,4.0,-10.919192755569245
COF-1_z41_inc_L050,inc,4.1,5.0,-10.912035696057133
COF-1_z41_inc_L060,inc,4.1,6.0,-10.912512604012775
COF-1_z41_inc_L070,inc,4.1,7.0,-10.914067655303043
COF-1_z41_inc_L075,inc,4.1,7.5,-10.913625232168465
COF-1_z42_inc_L000,inc,4.2,0.0,-10.940996901707313
COF-1_z42_inc_L010,inc,4.2,1.0,-10.93753300220752
COF-1_z42_inc_L020,inc,4.2,2.0,-10.927680650744353
COF-1_z42_inc_L030,inc,4.2,3.0,-10.918683890746147
COF-1_z42_inc_L040,inc,4.2,4.0,-10.911596178160552
COF-1_z42_inc_L050,inc,4.2,5.0,-10.90525658530279
COF-1_z42_inc_L060,inc,4.2,6.0,-10.906211344123799
COF-1_z42_inc_L070,inc,4.2,7.0,-10.907563054213107
COF-1_z42_inc_L075,inc,4.2,7.5,-10.906663370422716
COF-1_z43_inc_L000,inc,4.3,0.0,-10.933143503188512
COF-1_z43_inc_L010,inc,4.3,1.0,-10.930296968914918
COF-1_z43_inc_L020,inc,4.3,2.0,-10.920424841543182
COF-1_z43_inc_L030,inc,4.3,3.0,-10.911021541146376
COF-1_z43_inc_L040,inc,4.3,4.0,-10.904241001612045
COF-1_z43_inc_L050,inc,4.3,5.0,-10.898634765765808
COF-1_z43_inc_L060,inc,4.3,6.0,-10.899824370629302
COF-1_z43_inc_L070,inc,4.3,7.0,-10.900921706091713
COF-1_z43_inc_L075,inc,4.3,7.5,-10.899794136203006
COF-1_z44_inc_L000,inc,4.4,0.0,-10.924613136868459
COF-1_z44_inc_L010,inc,4.4,1.0,-10.922497366234062
COF-1_z44_inc_L020,inc,4.4,2.0,-10.913112809381108
COF-1_z44_inc_L030,inc,4.4,3.0,-10.903934026412049
COF-1_z44_inc_L040,inc,4.4,4.0,-10.897389234645741
COF-1_z44_inc_L050,inc,4.4,5.0,-10.892435156450677
COF-1_z44_inc_L060,inc,4.4,6.0,-10.89349357139658
COF-1_z44_inc_L070,inc,4.4,7.0,-10.894242877862295
COF-1_z44_inc_L075,inc,4.4,7.5,-10.89310636458568
COF-1_z45_inc_L000,inc,4.5,0.0,-10.915967519204687
COF-1_z45_inc_L010,inc,4.5,1.0,-10.914100981343092
COF-1_z45_inc_L020,inc,4.5,2.0,-10.905854463380809
COF-1_z45_inc_L030,inc,4.5,3.0,-10.897491612156463
COF-1_z45_inc_L040,inc,4.5,4.0,-10.89108560227476
COF-1_z45_inc_L050,inc,4.5,5.0,-10.886742741969575
COF-1_z45_inc_L060,inc,4.5,6.0,-10.887393867978886
COF-1_z45_inc_L070,inc,4.5,7.0,-10.88770756901485
COF-1_z45_inc_L075,inc,4.5,7.5,-10.886700310592458
