structure,rank,two_theta_deg,relative_intensity
cof-1_z33_L020_serr,1,6.78756,100.0
cof-1_z33_L020_serr,2,6.78944,99.943
cof-1_z33_L020_serr,3,6.7711,86.252
cof-1_z33_L020_serr,4,27.06352,28.645
cof-1_z33_L020_serr,5,13.59908,6.012
cof-1_z33_L020_serr,6,13.60287,5.995
cof-1_z33_L020_serr,7,11.78191,4.59
cof-1_z33_L020_serr,8,15.05417,3.05
cof-1_z33_L020_serr,9,13.56598,3.032
cof-1_z33_L020_serr,10,15.06737,3.026
