structure,stacking_mode,energy_eV_per_layer,energy_rel_eV_per_layer,stopped_due_to_max_steps
ILCOF-1_z31_L140_incl,incl,-706.1760108671886,2.1110770904052742,False
ILCOF-1_z34_L010_incl,incl,-707.7650764790462,0.5220114785475971,False
ILCOF-1_z35_L080_incl,incl,-708.2870879575938,0.0,False
ILCOF-1_z31_L130_serr,serr,-705.9441163418395,2.3429716157543226,False
ILCOF-1_z32_L110_serr,serr,-707.1344974634201,1.1525904941737508,True
ILCOF-1_z34_L000_serr,serr,-707.5613713302675,0.7257166273262783,False
